Time,47959.rf_packets_transmitted
2022-09-25 02:12:07,2091982
2022-09-25 02:12:08,2091982
2022-09-25 02:13:06,2091983
2022-09-25 02:13:06,2091983
2022-09-25 02:13:08,2091983
2022-09-25 02:13:08,2091983
2022-09-25 02:13:08,2091983
2022-09-25 02:13:08,2091983
2022-09-25 02:14:08,2091985
2022-09-25 02:15:09,2091987
2022-09-25 02:15:09,2091987
2022-09-25 02:17:09,2091990
2022-09-25 03:22:00,2092099
2022-09-25 03:46:10,2092140
2022-09-25 03:47:11,2092141
2022-09-25 03:48:11,2092143
2022-09-25 03:49:11,2092145
2022-09-25 03:50:12,2092147
2022-09-25 04:55:44,2092256
2022-09-25 04:56:43,2092258
2022-09-25 04:57:44,2092260
2022-09-25 04:57:45,2092260
2022-09-25 04:58:44,2092261
2022-09-25 04:59:45,2092263
2022-09-25 05:00:45,2092265
2022-09-25 05:01:45,2092266
2022-09-25 05:01:47,2092266
2022-09-25 05:02:46,2092268
2022-09-25 10:08:06,2092781
2022-09-25 10:12:07,2092788
2022-09-25 10:13:08,2092790
2022-09-25 10:14:08,2092791
2022-09-25 10:15:08,2092793
2022-09-25 10:16:09,2092795
2022-09-25 10:17:09,2092796
2022-09-25 11:20:40,2092903
2022-09-25 11:21:41,2092904
2022-09-25 11:22:41,2092906
2022-09-25 11:22:41,2092906
2022-09-25 18:08:44,2097334
2022-09-25 18:10:44,2097337
2022-09-25 18:11:45,2097339
2022-09-25 18:12:45,2097340
2022-09-25 20:53:00,2097610
2022-09-25 20:54:01,2097611
2022-09-25 20:55:01,2097613
2022-09-25 20:56:02,2097615
2022-09-25 20:57:02,2097616
2022-09-25 20:58:02,2097618
2022-09-25 20:59:03,2097620
2022-09-25 21:01:04,2097623
2022-09-26 00:27:04,2097970
2022-09-26 00:28:05,2097971
2022-09-26 00:28:05,2097971
2022-09-26 00:32:45,2097989
2022-09-26 00:32:53,2097989
2022-09-26 00:32:53,2097989
2022-09-26 00:32:53,2097989
2022-09-26 00:32:53,2097989
2022-09-26 02:00:34,2098135
2022-09-26 02:01:34,2098137
2022-09-26 02:01:34,2098137
2022-09-26 02:02:34,2098139
2022-09-26 02:03:34,2098140
2022-09-26 02:03:34,2098140
2022-09-26 02:03:34,2098140
2022-09-26 02:03:34,2098140
2022-09-26 02:03:35,2098140
2022-09-26 02:04:35,2098142
2022-09-26 02:04:35,2098142
2022-09-26 02:04:35,2098142
2022-09-26 02:05:33,2098144
2022-09-26 02:05:33,2098144
2022-09-26 02:05:35,2098144
2022-09-26 02:05:35,2098144
2022-09-26 02:05:35,2098144
2022-09-26 02:05:35,2098144
2022-09-26 02:06:35,2098145
2022-09-26 02:06:36,2098145
2022-09-26 02:06:36,2098145
2022-09-26 02:06:36,2098145
2022-09-26 02:07:36,2098147
2022-09-26 02:07:36,2098147
2022-09-26 02:07:36,2098147
2022-09-26 02:07:36,2098147
2022-09-26 02:08:36,2098149
2022-09-26 02:08:36,2098149
2022-09-26 02:09:37,2098150
2022-09-26 02:10:37,2098152
2022-09-26 03:16:09,2098262
2022-09-26 03:17:10,2098263
2022-09-26 03:38:18,2098300
2022-09-26 03:39:18,2098302
2022-09-26 03:39:18,2098302
2022-09-26 03:40:19,2098303
2022-09-26 03:41:19,2098305
2022-09-26 03:41:19,2098305
2022-09-26 03:42:19,2098307
2022-09-26 03:43:20,2098308
2022-09-26 04:48:50,2098418
2022-09-26 04:49:51,2098420
2022-09-26 04:49:52,2098420
2022-09-26 04:50:51,2098421
2022-09-26 04:51:53,2098423
2022-09-26 04:52:52,2098425
2022-09-26 04:53:52,2098426
2022-09-26 04:54:53,2098428
2022-09-26 06:54:46,2098630
2022-09-26 06:54:47,2098630
2022-09-26 06:55:47,2098631
2022-09-26 09:41:04,2098909
2022-09-26 09:42:05,2098911
2022-09-26 09:43:05,2098913
2022-09-26 09:44:05,2098914
2022-09-26 09:46:06,2098918
2022-09-26 10:03:12,2098946
2022-09-26 10:04:13,2098948
2022-09-26 10:05:13,2098950
2022-09-26 10:05:13,2098950
2022-09-26 10:06:13,2098951
2022-09-26 10:07:14,2098953
2022-09-26 10:08:14,2098955
2022-09-26 10:09:14,2098956
2022-09-26 10:10:15,2098958
2022-09-26 10:11:15,2098960
2022-09-26 11:16:39,2099069
2022-09-26 11:16:40,2099069
2022-09-26 11:16:47,2099069
2022-09-26 11:16:47,2099069
2022-09-26 11:16:47,2099069
2022-09-26 11:19:15,2099077
2022-09-26 11:20:11,2099080
2022-09-26 11:20:19,2099080
2022-09-26 11:20:19,2099080
2022-09-26 11:21:14,2099081
2022-09-26 11:21:19,2099081
2022-09-26 11:21:19,2099081
2022-09-26 11:22:12,2099083
2022-09-26 11:22:15,2099083
2022-09-26 11:22:20,2099083
2022-09-26 11:22:20,2099083
2022-09-26 11:22:20,2099083
2022-09-26 11:23:20,2099085
2022-09-26 11:38:25,2099110
