"Time","batt"
2021-06-07 04:56:44,8.16 V
2021-06-07 04:57:44,8.18 V
2021-06-07 06:59:37,8.23 V
2021-06-07 07:00:38,8.19 V
2021-06-07 07:01:38,8.18 V
2021-06-08 00:29:47,8.25 V
2021-06-08 00:30:48,8.25 V
2021-06-08 00:31:48,8.25 V
2021-06-08 00:31:48,8.25 V
2021-06-08 03:15:28,8.17 V
2021-06-08 03:36:37,8.24 V
2021-06-08 06:55:05,8.26 V
2021-06-08 06:57:06,8.18 V
2021-06-08 06:58:06,8.18 V
2021-06-08 09:48:23,8.23 V
2021-06-08 09:49:24,8.23 V
2021-06-09 00:29:57,8.16 V
2021-06-09 00:30:58,8.17 V
2021-06-09 04:28:38,8.20 V
2021-06-09 04:29:38,8.21 V
2021-06-09 04:30:39,8.21 V
2021-06-09 04:31:39,8.21 V
2021-06-09 04:32:40,8.22 V
2021-06-09 04:33:40,8.22 V
2021-06-09 04:34:41,8.21 V
2021-06-09 04:47:49,8.20 V
2021-06-09 04:48:50,8.04 V
2021-06-09 06:01:21,8.21 V
2021-06-09 06:02:21,8.21 V
2021-06-09 06:03:22,8.22 V
2021-06-09 06:04:22,8.22 V
2021-06-09 06:05:23,8.22 V
2021-06-09 06:06:23,8.22 V
2021-06-09 06:07:24,8.23 V
2021-06-09 06:08:24,8.22 V
2021-06-09 09:42:00,8.23 V
2021-06-09 09:43:00,8.24 V
2021-06-09 09:44:01,8.23 V
2021-06-09 09:45:01,8.24 V
2021-06-10 00:26:51,8.16 V
2021-06-10 01:55:16,8.25 V
2021-06-10 01:55:16,8.25 V
2021-06-10 01:56:33,8.24 V
2021-06-10 01:56:33,8.24 V
2021-06-10 01:56:33,8.24 V
2021-06-10 01:58:03,8.25 V
2021-06-10 01:58:03,8.25 V
2021-06-10 01:58:03,8.25 V
2021-06-10 04:20:40,8.17 V
2021-06-10 04:21:40,8.18 V
2021-06-10 04:22:41,8.17 V
2021-06-10 04:23:41,8.18 V
2021-06-10 04:24:42,8.18 V
2021-06-10 04:25:42,8.19 V
2021-06-10 04:26:43,8.20 V
2021-06-10 04:27:47,8.21 V
2021-06-10 04:28:48,8.21 V
2021-06-10 04:29:48,8.22 V
2021-06-10 04:42:56,8.24 V
2021-06-10 04:43:57,8.23 V
2021-06-10 04:44:57,8.22 V
2021-06-10 04:45:57,8.22 V
2021-06-10 06:00:30,8.23 V
2021-06-10 06:01:31,8.23 V
2021-06-10 06:02:32,8.22 V
2021-06-10 06:03:32,8.22 V
2021-06-10 06:45:50,8.24 V
2021-06-10 06:45:50,8.24 V
2021-06-10 06:47:51,8.19 V
2021-06-10 12:44:34,8.12 V
2021-06-10 12:44:34,8.12 V
2021-06-10 22:43:02,8.25 V
2021-06-11 00:16:41,8.25 V
2021-06-11 00:16:44,8.25 V
2021-06-11 00:16:44,8.25 V
2021-06-11 00:17:45,8.25 V
2021-06-11 00:17:45,8.25 V
2021-06-11 00:17:45,8.25 V
