Time,47959.obc_uptime_total
2023-02-27 18:07:28,60310538
2023-02-27 19:19:21,60314855
2023-02-27 20:47:23,60320135
2023-02-27 20:48:51,60320223
2023-02-27 20:51:47,60320399
2023-02-27 20:53:15,60320487
2023-02-27 20:56:11,60320663
2023-02-28 00:21:26,60332983
2023-02-28 00:21:27,60332983
2023-02-28 00:21:35,60332983
2023-02-28 00:21:35,60332983
2023-02-28 00:21:35,60332983
2023-02-28 00:22:55,60333071
2023-02-28 00:22:57,60333071
2023-02-28 00:23:03,60333071
2023-02-28 00:23:03,60333071
2023-02-28 00:23:03,60333071
2023-02-28 00:25:50,60333247
2023-02-28 00:25:50,60333247
2023-02-28 00:25:59,60333247
2023-02-28 00:25:59,60333247
2023-02-28 00:25:59,60333247
2023-02-28 00:25:59,60333247
2023-02-28 00:27:19,60333335
2023-02-28 00:27:19,60333335
2023-02-28 00:27:27,60333335
2023-02-28 00:27:27,60333335
2023-02-28 00:27:27,60333335
2023-02-28 00:28:47,60333423
2023-02-28 00:30:15,60333511
2023-02-28 00:30:23,60333511
2023-02-28 02:02:49,60339055
2023-02-28 02:04:09,60339143
2023-02-28 02:04:17,60339143
2023-02-28 03:30:50,60344335
2023-02-28 03:30:50,60344335
2023-02-28 03:36:42,60344687
2023-02-28 03:38:10,60344775
2023-02-28 03:38:10,60344775
2023-02-28 08:24:17,60361935
2023-02-28 08:25:45,60362023
2023-02-28 09:56:43,60367479
2023-02-28 09:58:11,60367567
2023-02-28 09:59:39,60367655
2023-02-28 10:01:07,60367743
2023-02-28 10:04:03,60367919
2023-02-28 11:08:29,60371791
2023-02-28 11:08:36,60371791
2023-02-28 11:08:36,60371791
2023-02-28 11:09:56,60371879
2023-02-28 11:10:04,60371879
2023-02-28 11:12:52,60372055
2023-02-28 11:12:53,60372055
2023-02-28 11:13:00,60372055
2023-02-28 11:13:00,60372055
2023-02-28 11:13:01,60372055
2023-02-28 11:14:20,60372143
2023-02-28 11:14:21,60372143
2023-02-28 11:14:29,60372143
2023-02-28 11:14:29,60372143
2023-02-28 11:14:29,60372143
2023-02-28 11:15:57,60372231
2023-02-28 11:15:57,60372231
2023-02-28 12:43:59,60377511
2023-02-28 12:43:59,60377511
2023-02-28 12:45:19,60377599
2023-02-28 12:45:27,60377599
2023-02-28 12:45:27,60377599
2023-02-28 12:45:27,60377599
2023-02-28 12:46:32,60377687
2023-02-28 12:46:32,60377687
2023-02-28 12:46:41,60377687
2023-02-28 12:46:41,60377687
2023-02-28 12:46:47,60377687
2023-02-28 12:46:48,60377687
2023-02-28 12:46:55,60377687
2023-02-28 12:46:55,60377687
2023-02-28 12:46:55,60377687
2023-02-28 12:46:55,60377687
2023-02-28 12:46:55,60377687
2023-02-28 12:46:55,60377687
2023-02-28 12:46:55,60377687
2023-02-28 12:46:55,60377687
2023-02-28 12:51:19,60377951
2023-02-28 12:51:19,60377951
2023-02-28 14:19:21,60383231
2023-02-28 14:20:49,60383319
2023-02-28 14:20:49,60383319
2023-02-28 14:22:17,60383407
2023-02-28 14:22:17,60383407
2023-02-28 14:22:17,60383407
2023-02-28 14:23:45,60383495
2023-02-28 14:23:45,60383495
2023-02-28 14:23:45,60383495
2023-02-28 14:25:13,60383583
2023-02-28 14:25:13,60383583
2023-02-28 14:26:41,60383671
2023-02-28 14:26:41,60383671
2023-03-01 00:11:57,60418783
2023-03-01 00:12:05,60418783
2023-03-01 00:12:05,60418783
2023-03-01 00:14:53,60418959
2023-03-01 00:14:54,60418959
2023-03-01 00:15:01,60418959
2023-03-01 00:15:01,60418959
2023-03-01 00:15:01,60418959
2023-03-01 00:16:22,60419047
2023-03-01 00:16:22,60419047
2023-03-01 00:16:30,60419047
2023-03-01 00:16:30,60419047
2023-03-01 00:16:30,60419047
2023-03-01 00:17:49,60419135
2023-03-01 00:17:50,60419135
2023-03-01 00:17:57,60419135
2023-03-01 00:17:57,60419135
2023-03-01 00:19:17,60419223
2023-03-01 00:19:25,60419223
2023-03-01 01:45:59,60424415
2023-03-01 01:47:19,60424503
2023-03-01 01:47:27,60424503
2023-03-01 01:47:27,60424503
2023-03-01 01:47:27,60424503
2023-03-01 01:48:47,60424591
2023-03-01 01:48:47,60424591
