"Time","Panel X Current"
2019-04-08 03:00:00,24
2019-04-08 03:00:00,100
2019-04-08 03:00:00,18
2019-04-09 03:00:00,17
2019-04-09 03:00:00,18
2019-04-09 03:00:00,17
2019-04-09 03:00:00,40
2019-04-09 03:00:00,325
2019-04-09 03:00:00,150
2019-04-09 03:00:00,142
2019-04-09 03:00:00,269
2019-04-09 03:00:00,16
2019-04-09 03:00:00,250
2019-04-09 03:00:00,265
2019-04-09 03:00:00,27
2019-04-09 03:00:00,287
2019-04-09 03:00:00,22
2019-04-09 03:00:00,404
2019-04-09 03:00:00,377
2019-04-09 03:00:00,20
2019-04-09 03:00:00,188
2019-04-10 03:00:00,65
2019-04-10 03:00:00,17
2019-04-10 03:00:00,17
2019-04-10 03:00:00,127
2019-04-10 03:00:00,17
2019-04-10 03:00:00,234
2019-04-10 03:00:00,18
2019-04-10 03:00:00,18
2019-04-10 03:00:00,276
2019-04-10 03:00:00,49
2019-04-10 03:00:00,31
2019-04-11 03:00:00,25
2019-04-11 03:00:00,20
2019-04-11 03:00:00,17
2019-04-11 03:00:00,32
2019-04-11 03:00:00,23
2019-04-11 03:00:00,28
2019-04-11 03:00:00,165
2019-04-11 03:00:00,55
2019-04-11 03:00:00,35
2019-04-11 03:00:00,43
2019-04-11 03:00:00,310
2019-04-12 03:00:00,18
2019-04-12 03:00:00,16
2019-04-12 03:00:00,80
2019-04-12 03:00:00,333
2019-04-12 03:00:00,17
2019-04-12 03:00:00,28
2019-04-12 03:00:00,27
2019-04-12 03:00:00,17
2019-04-12 03:00:00,17
2019-04-12 03:00:00,28
2019-04-12 03:00:00,17
2019-04-13 03:00:00,243
2019-04-13 03:00:00,66
2019-04-13 03:00:00,205
2019-04-13 03:00:00,20
2019-04-13 03:00:00,17
2019-04-13 03:00:00,18
2019-04-13 03:00:00,251
2019-04-13 03:00:00,17
2019-04-13 03:00:00,17
2019-04-13 03:00:00,288
2019-04-13 03:00:00,16
2019-04-14 03:00:00,139
2019-04-14 03:00:00,285
2019-04-14 03:00:00,422
2019-04-14 03:00:00,17
2019-04-14 03:00:00,18
2019-04-14 03:00:00,19
2019-04-14 03:00:00,18
2019-04-14 03:00:00,50
2019-04-14 03:00:00,17
2019-04-14 03:00:00,199
2019-04-14 03:00:00,434
2019-04-14 03:00:00,17
2019-04-14 03:00:00,299
2019-04-14 03:00:00,157
2019-04-14 03:00:00,223
2019-04-14 03:00:00,16
2019-04-14 03:00:00,16
2019-04-15 03:00:00,18
2019-04-15 03:00:00,17
2019-04-15 03:00:00,227
2019-04-15 03:00:00,27
2019-04-15 03:00:00,20
2019-04-15 03:00:00,19
2019-04-15 03:00:00,17
2019-04-15 03:00:00,59
2019-04-15 03:00:00,19
