Time,"53385.offset, kB"
2023-03-29 12:54:22,21.9
2023-03-29 12:54:23,30.412
2023-03-29 12:54:23,29.74
2023-03-29 12:54:23,22.684
2023-03-29 12:54:24,31.14
2023-03-29 12:54:24,31.308
2023-03-29 12:54:24,23.468
2023-03-29 12:54:25,32.092
2023-03-29 12:54:25,31.364
2023-03-29 12:54:25,24.252
2023-03-29 12:54:26,32.764
2023-03-29 12:54:26,32.54
2023-03-29 12:54:26,24.98
2023-03-29 12:54:27,33.94
2023-03-29 12:54:27,32.876
2023-03-29 12:54:27,25.764
2023-03-29 12:54:28,34.332
2023-03-29 12:54:28,33.604
2023-03-29 12:54:28,26.548
2023-03-29 12:54:29,35.06
2023-03-29 12:54:29,34.332
2023-03-29 12:54:29,27.332
2023-03-29 12:54:30,36.012
2023-03-29 12:54:30,35.228
2023-03-29 12:54:30,28.116
2023-03-29 12:54:31,36.796
2023-03-29 12:54:31,36.068
2023-03-29 12:54:31,28.9
2023-03-29 12:54:32,37.468
2023-03-29 12:54:32,36.796
2023-03-29 12:54:32,29.684
2023-03-29 12:54:33,38.252
2023-03-29 12:54:33,37.58
2023-03-29 12:54:33,30.468
2023-03-29 12:54:34,39.092
2023-03-29 12:54:34,38.252
2023-03-29 12:54:34,31.252
2023-03-29 12:54:35,39.036
2023-03-29 12:54:35,32.036
2023-03-29 12:54:36,39.876
2023-03-29 12:54:36,32.82
2023-03-29 12:54:37,40.716
2023-03-29 12:54:37,33.604
2023-03-29 12:54:38,41.5
2023-03-29 12:54:38,34.388
2023-03-29 12:54:39,42.228
2023-03-29 12:54:39,35.228
2023-03-29 12:54:40,43.012
2023-03-29 12:54:41,43.74
2023-03-29 12:54:42,44.58
2023-03-29 12:54:43,45.476
2023-03-29 12:54:44,46.26
2023-03-29 12:54:45,47.1
2023-03-29 12:54:46,49.172
2023-03-29 12:54:46,47.772
2023-03-29 12:54:47,49.284
2023-03-29 12:54:47,48.5
2023-03-29 12:54:48,50.068
2023-03-29 12:54:49,50.796
2023-03-29 12:54:50,51.524
2023-03-29 12:54:51,52.084
2023-03-29 12:54:51,52.42
2023-03-29 12:54:52,52.532
2023-03-29 12:54:53,53.204
2023-03-29 12:54:54,53.932
2023-03-30 10:48:42,54.324
2023-03-30 10:48:58,0.004
2023-03-30 10:49:01,2.3
2023-03-30 10:49:04,4.652
2023-03-30 10:49:07,7.116
2023-03-30 10:49:08,7.956
2023-03-30 10:49:09,8.628
2023-03-30 10:49:12,11.148
2023-03-30 10:49:13,11.484
2023-03-30 10:49:14,12.212
2023-03-30 10:49:15,13.22
2023-03-30 10:49:16,13.724
2023-03-30 10:49:17,14.732
2023-03-30 10:49:18,15.516
2023-03-30 10:49:19,16.132
2023-03-30 10:49:20,16.916
2023-03-30 10:49:21,17.644
2023-03-30 10:49:22,18.428
2023-03-30 10:49:23,19.212
2023-03-30 10:49:24,20.108
2023-03-30 10:49:25,20.892
2023-03-30 10:49:26,21.676
2023-03-30 10:49:27,22.404
2023-03-30 10:49:28,23.132
2023-03-30 10:49:29,23.86
2023-03-30 10:49:30,24.868
2023-03-30 10:49:31,25.652
2023-03-30 10:49:32,26.324
2023-03-30 10:49:33,27.108
2023-03-30 10:49:34,27.836
2023-03-30 10:49:35,28.62
2023-03-30 10:49:36,29.516
2023-03-30 10:49:37,30.356
2023-03-30 10:49:38,31.084
2023-03-30 10:49:39,31.868
2023-03-30 10:49:40,32.596
2023-03-30 10:49:41,33.38
2023-03-30 10:49:42,34.052
2023-03-30 10:49:43,35.06
2023-03-30 10:49:44,35.844
2023-03-30 10:49:45,36.516
2023-03-30 10:49:46,37.3
2023-03-30 10:49:47,38.028
