"Time","OBC Number of Reloads"
2023-12-26 03:29:12,70
2023-12-26 03:29:12,70
2023-12-26 03:29:44,70
2023-12-26 03:29:44,70
2023-12-26 03:30:49,70
2023-12-26 03:30:49,70
2023-12-26 06:43:19,70
2023-12-26 06:43:19,70
2023-12-26 06:44:57,70
2023-12-26 06:44:57,70
2023-12-26 06:45:29,70
2023-12-26 06:45:29,70
2023-12-26 06:46:02,70
2023-12-26 06:46:02,70
2023-12-26 06:46:34,70
2023-12-26 06:46:34,70
2023-12-26 06:47:07,70
2023-12-26 06:47:07,70
2023-12-26 08:11:53,70
2023-12-26 08:12:25,70
2023-12-26 10:50:14,70
2023-12-26 12:18:32,70
2023-12-26 12:19:05,70
2023-12-26 12:19:37,70
2023-12-26 12:20:10,70
2023-12-26 12:22:42,70
2023-12-26 12:23:59,70
2023-12-26 12:26:10,70
2023-12-26 12:26:48,70
2023-12-26 12:27:41,70
2023-12-26 12:28:14,70
2023-12-26 12:28:46,70
2023-12-26 13:51:04,70
2023-12-26 13:51:36,70
2023-12-26 13:51:43,70
2023-12-26 13:51:43,70
2023-12-26 13:51:44,70
2023-12-26 13:51:44,70
2023-12-26 13:52:38,70
2023-12-26 13:52:38,70
2023-12-26 13:52:39,70
2023-12-26 13:52:39,70
2023-12-26 13:52:39,70
2023-12-26 13:52:59,70
2023-12-26 13:53:11,70
2023-12-26 13:53:11,70
2023-12-26 13:53:11,70
2023-12-26 13:53:11,70
2023-12-26 13:53:31,70
2023-12-26 13:53:43,70
2023-12-26 13:53:43,70
2023-12-26 13:53:44,70
2023-12-26 13:53:44,70
2023-12-26 13:53:44,70
2023-12-26 13:55:31,70
2023-12-26 18:16:07,70
2023-12-26 18:16:07,70
2023-12-26 20:32:16,70
2023-12-26 20:32:49,70
2023-12-26 23:08:32,70
2023-12-26 23:09:04,70
2023-12-27 00:38:33,70
2023-12-27 00:39:06,70
2023-12-27 00:39:38,70
2023-12-27 00:40:11,70
2023-12-27 00:51:02,70
2023-12-27 00:51:35,70
2023-12-27 00:52:07,70
2023-12-27 00:52:40,70
2023-12-27 00:53:11,70
2023-12-27 00:53:50,70
2023-12-27 00:54:17,70
2023-12-27 00:54:49,70
2023-12-27 00:55:22,70
2023-12-27 00:55:54,70
2023-12-27 00:56:27,70
2023-12-27 02:19:58,70
2023-12-27 02:20:30,70
2023-12-27 02:21:03,70
2023-12-27 02:21:36,70
2023-12-27 02:22:08,70
2023-12-27 02:22:31,70
2023-12-27 02:22:40,70
2023-12-27 02:23:04,70
2023-12-27 02:23:13,70
2023-12-27 02:23:36,70
2023-12-27 02:23:46,70
2023-12-27 02:24:09,70
2023-12-27 02:24:18,70
2023-12-27 02:24:19,70
2023-12-27 02:24:41,70
2023-12-27 02:24:51,70
2023-12-27 02:25:14,70
2023-12-27 02:25:23,70
2023-12-27 02:25:23,70
2023-12-27 02:25:47,70
2023-12-27 02:25:56,70
2023-12-27 02:25:56,70
2023-12-27 02:26:28,70
2023-12-27 02:26:28,70
2023-12-27 02:27:01,70
2023-12-27 02:27:01,70
2023-12-27 02:27:33,70
2023-12-27 02:27:33,70
2023-12-27 03:55:20,70
2023-12-27 03:55:53,70
2023-12-27 03:56:26,70
2023-12-27 03:57:31,70
2023-12-27 06:29:00,70
2023-12-27 06:29:32,70
2023-12-27 06:30:05,70
2023-12-27 07:58:20,70
2023-12-27 07:58:52,70
2023-12-27 07:59:25,70
2023-12-27 07:59:57,70
2023-12-27 08:00:30,70
2023-12-27 08:01:03,70
2023-12-27 11:16:53,70
