"Time","Text"
2019-08-31 16:37:48,3.339 week
2019-08-31 18:19:33,3.349 week
2019-08-31 18:20:03,3.350 week
2019-08-31 23:28:03,3.380 week
2019-08-31 23:28:18,3.380 week
2019-08-31 23:30:18,3.380 week
2019-09-09 22:24:33,2.90 day
2019-09-10 14:24:04,3.56 day
2019-09-10 14:24:49,3.56 day
2019-09-10 14:25:34,3.56 day
2019-09-22 22:53:50,2.274 week
2019-09-22 22:54:20,2.274 week
2019-09-22 22:54:35,2.274 week
2019-09-22 22:56:50,2.274 week
2019-09-22 22:57:35,2.274 week
2019-10-17 00:03:14,13.93 hour
2019-10-18 17:17:15,6.55 hour
2019-10-18 17:18:45,6.58 hour
2019-10-18 17:20:00,6.60 hour
2019-10-18 17:52:00,7.13 hour
2019-10-18 18:58:31,8.24 hour
2019-10-18 18:59:31,8.26 hour
2019-10-18 22:22:16,11.63 hour
2019-10-18 22:22:46,11.64 hour
2019-10-18 22:23:16,11.65 hour
2019-10-18 22:24:01,11.66 hour
2019-10-18 22:24:16,11.67 hour
2019-10-19 00:03:46,13.33 hour
2019-10-19 00:04:31,13.34 hour
2019-10-19 15:38:33,1.20 day
2019-10-19 17:18:03,1.27 day
2019-10-19 19:56:33,1.38 day
2019-10-22 20:40:39,8.78 hour
2019-10-22 20:41:09,8.78 hour
2019-10-22 20:41:24,8.79 hour
2019-10-22 22:52:24,10.97 hour
2019-10-22 22:54:09,11.00 hour
2019-10-22 22:54:24,11.01 hour
2019-10-22 22:54:54,11.01 hour
2019-10-22 22:56:24,11.04 hour
2019-10-22 22:56:24,11.04 hour
2019-10-22 22:56:54,11.05 hour
2019-10-22 22:57:09,11.05 hour
2019-10-22 22:57:09,11.05 hour
2019-10-22 22:57:24,11.06 hour
2019-10-23 15:36:56,1.155 day
2019-11-15 10:14:45,12.88 hour
2019-11-15 10:15:00,12.89 hour
2019-11-15 10:17:15,12.93 hour
2019-11-15 10:18:00,12.94 hour
2019-12-31 05:02:49,1.77 day
2020-01-02 06:01:37,1.78 day
2020-01-02 06:07:07,1.79 day
2020-01-02 07:47:22,1.86 day
2020-01-03 02:40:26,14.79 hour
2020-01-03 02:41:11,14.81 hour
2020-01-03 04:22:41,16.50 hour
2020-01-03 04:23:11,16.51 hour
2020-01-03 04:23:26,16.51 hour
2020-01-03 04:24:11,16.52 hour
2020-01-03 04:25:11,16.54 hour
2020-01-03 06:02:12,18.16 hour
2020-01-03 06:03:27,18.18 hour
2020-01-03 06:06:12,18.22 hour
2020-01-03 07:40:57,19.80 hour
2020-01-03 07:45:27,19.88 hour
2020-01-05 13:28:21,1.038 day
2020-01-08 01:22:48,1.51 day
2020-01-08 01:24:03,1.51 day
2020-01-08 01:24:33,1.51 day
2020-01-25 15:01:15,20.12 hour
2020-01-25 16:08:46,21.25 hour
2020-01-26 00:43:17,1.24 day
2020-01-26 11:33:47,1.69 day
2020-01-26 11:35:02,1.70 day
2020-01-26 14:58:18,1.84 day
2020-01-26 16:04:33,1.88 day
2020-01-26 16:05:48,1.88 day
2020-01-26 16:06:18,1.88 day
2020-01-26 16:06:48,1.88 day
2020-01-26 22:45:51,3.30 hour
2020-01-26 22:50:21,3.37 hour
2020-01-27 02:22:37,6.91 hour
2020-01-27 11:30:38,16.04 hour
2020-01-27 11:31:08,16.05 hour
2020-01-27 11:32:08,16.07 hour
2020-02-02 02:56:06,5.78 hour
2020-02-04 21:42:20,23.96 hour
2020-02-04 21:42:50,23.97 hour
2020-02-04 21:43:05,23.98 hour
2020-02-04 21:43:20,23.98 hour
2020-02-08 09:35:04,10.62 hour
2020-02-11 18:00:03,1.77 day
2020-03-03 23:52:21,20.99 hour
2020-03-03 23:52:51,21.00 hour
2020-03-03 23:53:06,21.00 hour
2020-03-03 23:53:36,21.01 hour
2020-03-03 23:53:51,21.01 hour
2020-03-03 23:54:06,21.02 hour
2020-03-03 23:54:21,21.02 hour
2020-03-03 23:54:36,21.03 hour
2020-03-03 23:54:51,21.03 hour
2020-03-03 23:55:06,21.03 hour
2020-03-03 23:55:21,21.04 hour
2020-03-03 23:56:36,21.06 hour
2020-03-03 23:56:51,21.06 hour
2020-03-03 23:57:06,21.07 hour
2020-03-03 23:57:51,21.08 hour
2020-03-03 23:58:06,21.08 hour
2020-03-03 23:58:21,21.09 hour
2020-03-03 23:59:21,21.11 hour
2020-03-04 03:16:36,1.016 day
2020-03-04 03:16:51,1.017 day
2020-03-04 03:17:06,1.017 day
2020-03-04 03:19:51,1.019 day
2020-03-04 03:20:06,1.019 day
2020-03-05 08:13:05,4.66 hour
2020-03-05 08:13:20,4.66 hour
2020-03-05 08:13:50,4.67 hour
2020-03-05 08:15:35,4.70 hour
2020-03-05 20:13:36,16.66 hour
2020-03-10 04:34:10,23.72 hour
2020-03-12 16:26:54,1.46 day
2020-03-14 14:50:45,1.36 day
2020-03-14 16:27:15,1.43 day
2020-03-14 16:27:30,1.43 day
2020-03-14 16:28:15,1.43 day
2020-03-14 16:28:30,1.43 day
2020-03-14 16:28:45,1.43 day
2020-03-14 16:29:30,1.43 day
2020-03-14 16:30:00,1.43 day
2020-03-14 16:30:30,1.43 day
2020-03-14 16:30:45,1.43 day
2020-03-14 16:31:00,1.43 day
2020-03-14 16:31:15,1.43 day
2020-03-14 16:31:30,1.43 day
2020-03-14 16:31:45,1.43 day
2020-03-14 16:32:30,1.43 day
2020-03-14 16:32:45,1.43 day
2020-03-14 16:33:15,1.43 day
2020-03-14 16:33:45,1.44 day
2020-03-14 16:34:00,1.44 day
2020-03-14 16:34:15,1.44 day
2020-03-14 16:34:30,1.44 day
2020-03-14 16:34:45,1.44 day
2020-03-14 16:35:00,1.44 day
2020-03-14 16:35:15,1.44 day
2020-03-14 16:35:30,1.44 day
2020-03-14 16:35:45,1.44 day
2020-03-14 16:36:00,1.44 day
2020-03-15 16:15:03,9.55 hour
2020-03-17 21:58:03,14.66 hour
2020-03-17 21:58:03,14.66 hour
2020-03-17 21:59:03,14.68 hour
2020-03-18 21:59:50,1.61 day
2020-03-19 16:47:22,8.88 hour
2020-03-19 20:08:23,12.23 hour
2020-03-19 20:09:53,12.25 hour
2020-03-19 20:10:23,12.26 hour
2020-03-19 20:10:53,12.27 hour
2020-03-19 20:11:38,12.28 hour
2020-03-19 21:50:38,13.93 hour
2020-03-19 21:53:23,13.98 hour
2020-03-19 21:54:08,13.99 hour
2020-03-20 02:17:08,18.37 hour
2020-03-20 02:17:38,18.38 hour
2020-03-21 12:34:13,4.06 hour
2020-03-21 12:34:28,4.06 hour
2020-03-21 12:34:58,4.07 hour
2020-03-21 12:35:13,4.07 hour
2020-03-21 12:38:28,4.13 hour
2020-03-21 12:40:43,4.16 hour
2020-03-21 12:40:58,4.17 hour
2020-03-21 12:41:28,4.18 hour
2020-03-21 12:42:13,4.19 hour
2020-03-21 12:44:28,4.23 hour
2020-03-21 18:22:29,9.86 hour
2020-03-21 18:22:29,9.86 hour
2020-03-21 18:24:29,9.89 hour
2020-03-21 18:24:29,9.89 hour
2020-03-21 18:24:44,9.90 hour
2020-03-21 18:25:29,9.91 hour
2020-03-21 20:02:29,11.53 hour
2020-03-21 20:04:29,11.56 hour
2020-03-23 22:36:07,13.46 hour
2020-03-23 22:36:37,13.47 hour
2020-03-23 22:38:07,13.49 hour
2020-03-24 16:25:09,1.30 day
2020-03-24 16:25:09,1.30 day
2020-03-24 16:27:24,1.30 day
