"Time","Text"
2019-10-22 22:57:09,ADCS Off
2019-10-22 22:57:24,ADCS Off
2019-10-23 15:36:56,ADCS Off
2019-11-15 10:14:45,ADCS Off
2019-11-15 10:15:00,ADCS Off
2019-11-15 10:17:15,ADCS Off
2019-11-15 10:18:00,ADCS Off
2019-12-31 05:02:49,ADCS Off
2020-01-02 06:01:37,ADCS Off
2020-01-02 06:07:07,ADCS Off
2020-01-02 07:47:22,ADCS Off
2020-01-03 02:40:26,ADCS Off
2020-01-03 02:41:11,ADCS Off
2020-01-03 04:22:41,ADCS Off
2020-01-03 04:23:11,ADCS Off
2020-01-03 04:23:26,ADCS Off
2020-01-03 04:24:11,ADCS Off
2020-01-03 04:25:11,ADCS Off
2020-01-03 06:02:12,ADCS Off
2020-01-03 06:03:27,ADCS Off
2020-01-03 06:06:12,ADCS Off
2020-01-03 07:40:57,ADCS Off
2020-01-03 07:45:27,ADCS Off
2020-01-05 13:28:21,ADCS Off
2020-01-08 01:22:48,ADCS Off
2020-01-08 01:24:03,ADCS Off
2020-01-08 01:24:33,ADCS Off
2020-01-25 15:01:15,ADCS Off
2020-01-25 16:08:46,ADCS Off
2020-01-26 00:43:17,ADCS Off
2020-01-26 11:33:47,ADCS Off
2020-01-26 11:35:02,ADCS Off
2020-01-26 14:58:18,ADCS Off
2020-01-26 16:04:33,ADCS Off
2020-01-26 16:05:48,ADCS Off
2020-01-26 16:06:18,ADCS Off
2020-01-26 16:06:48,ADCS Off
2020-01-26 22:45:51,ADCS Off
2020-01-26 22:50:21,ADCS Off
2020-01-27 02:22:37,ADCS Off
2020-01-27 11:30:38,ADCS Off
2020-01-27 11:31:08,ADCS Off
2020-01-27 11:32:08,ADCS Off
2020-02-02 02:56:06,ADCS Off
2020-02-04 21:42:20,ADCS Off
2020-02-04 21:42:50,ADCS Off
2020-02-04 21:43:05,ADCS Off
2020-02-04 21:43:20,ADCS Off
2020-02-08 09:35:04,ADCS Off
2020-02-11 18:00:03,ADCS Off
2020-03-03 23:52:21,ADCS Off
2020-03-03 23:52:51,ADCS Off
2020-03-03 23:53:06,ADCS Off
2020-03-03 23:53:36,ADCS Off
2020-03-03 23:53:51,ADCS Off
2020-03-03 23:54:06,ADCS Off
2020-03-03 23:54:21,ADCS Off
2020-03-03 23:54:36,ADCS Off
2020-03-03 23:54:51,ADCS Off
2020-03-03 23:55:06,ADCS Off
2020-03-03 23:55:21,ADCS Off
2020-03-03 23:56:36,ADCS Off
2020-03-03 23:56:51,ADCS Off
2020-03-03 23:57:06,ADCS Off
2020-03-03 23:57:51,ADCS Off
2020-03-03 23:58:06,ADCS Off
2020-03-03 23:58:21,ADCS Off
2020-03-03 23:59:21,ADCS Off
2020-03-04 03:16:36,ADCS Off
2020-03-04 03:16:51,ADCS Off
2020-03-04 03:17:06,ADCS Off
2020-03-04 03:19:51,ADCS Off
2020-03-04 03:20:06,ADCS Off
2020-03-05 08:13:05,ADCS Off
2020-03-05 08:13:20,ADCS Off
2020-03-05 08:13:50,ADCS Off
2020-03-05 08:15:35,ADCS Off
2020-03-05 20:13:36,ADCS Off
2020-03-10 04:34:10,ADCS Off
2020-03-12 16:26:54,ADCS Off
