Time,Attitude Quaternion 1
2021-03-16 03:00:00,0.54
2021-03-17 03:00:00,0.52
2021-03-18 03:00:00,0.21
2021-03-19 03:00:00,0.68
2021-03-20 03:00:00,-1.0
2021-03-21 03:00:00,0.26
2021-03-22 03:00:00,0.65
2021-03-23 03:00:00,0.41
2021-03-24 03:00:00,0.57
2021-03-25 03:00:00,0.42
2021-03-26 03:00:00,0.6
2021-03-27 03:00:00,0.58
2021-03-28 03:00:00,0.44
2021-03-29 03:00:00,0.6
2021-03-30 03:00:00,0.0
2021-03-31 03:00:00,0.46
2021-04-01 03:00:00,0.6
2021-04-02 03:00:00,0.44
2021-04-03 03:00:00,0.63
2021-04-04 03:00:00,0.46
2021-04-05 03:00:00,0.64
2021-04-06 03:00:00,0.49
2021-04-07 03:00:00,0.5
2021-04-08 03:00:00,0.63
2021-04-09 03:00:00,0.51
2021-04-10 03:00:00,0.43
2021-04-11 03:00:00,0.63
2021-04-12 03:00:00,0.52
2021-04-13 03:00:00,0.51
2021-04-14 03:00:00,0.53
2021-04-15 03:00:00,0.54
2021-04-16 03:00:00,0.52
2021-04-17 03:00:00,0.68
2021-04-18 03:00:00,0.54
2021-04-19 03:00:00,0.54
2021-04-20 03:00:00,0.7
2021-04-21 03:00:00,0.55
2021-04-22 03:00:00,0.69
2021-04-23 03:00:00,0.57
2021-04-24 03:00:00,0.58
2021-04-25 03:00:00,0.59
2021-04-26 03:00:00,0.7
2021-04-27 03:00:00,0.6
2021-04-28 03:00:00,0.6
2021-04-29 03:00:00,0.72
2021-04-30 03:00:00,0.0
2021-05-01 03:00:00,0.64
2021-05-02 03:00:00,0.037
2021-05-03 03:00:00,0.037
2021-05-04 03:00:00,0.037
2021-05-05 03:00:00,0.62
2021-05-06 03:00:00,0.62
2021-05-07 03:00:00,0.66
2021-05-08 03:00:00,0.75
2021-05-09 03:00:00,0.34
2021-05-10 03:00:00,0.15
2021-05-11 03:00:00,0.7
2021-05-12 03:00:00,0.0
2021-05-13 03:00:00,0.8
2021-05-14 03:00:00,0.52
2021-05-15 03:00:00,0.51
2021-05-16 03:00:00,0.51
2021-05-17 03:00:00,0.51
2021-05-18 03:00:00,0.69
2021-05-19 03:00:00,0.7
2021-05-20 03:00:00,0.68
2021-05-21 03:00:00,0.79
2021-05-22 03:00:00,0.7
2021-05-23 03:00:00,0.78
