Time,Sun Position 1
2020-07-20 03:00:00,-1
2020-07-21 03:00:00,-1
2020-07-22 03:00:00,-75321335
2020-07-23 03:00:00,-77653870
2020-07-24 03:00:00,-79819726
2020-07-25 03:00:00,-1
2020-07-26 03:00:00,-84079889
2020-07-27 03:00:00,-86173661
2020-07-28 03:00:00,-88246897
2020-07-29 03:00:00,-89582955
2020-07-30 03:00:00,-92308599
2020-07-31 03:00:00,-95199394
2020-08-01 03:00:00,-97151419
2020-08-02 03:00:00,-98407463
2020-08-03 03:00:00,-100850013
2020-08-04 03:00:00,-102715836
2020-08-05 03:00:00,-104561171
2020-08-06 03:00:00,-105435759
2020-08-07 03:00:00,-107236103
2020-08-08 03:00:00,-108623431
2020-08-09 03:00:00,-110366754
2020-08-10 03:00:00,-111906296
2020-08-11 03:00:00,-114116633
2020-08-12 03:00:00,-116257787
2020-08-13 03:00:00,-117468627
2020-08-14 03:00:00,-118639583
2020-08-15 03:00:00,-1
2020-08-16 03:00:00,-122083669
2020-08-17 03:00:00,-123174948
2020-08-18 03:00:00,-124893593
2020-08-19 03:00:00,-126380777
2020-08-20 03:00:00,-127655056
2020-08-21 03:00:00,-129651229
2020-08-22 03:00:00,-129938516
2020-08-23 03:00:00,-132149733
2020-08-24 03:00:00,-132420287
2020-08-25 03:00:00,-134180731
2020-08-26 03:00:00,-135536169
2020-08-27 03:00:00,-136392127
2020-08-28 03:00:00,-136920363
2020-08-29 03:00:00,-137947393
2020-08-30 03:00:00,-139548567
2020-08-31 03:00:00,-140529708
2020-09-01 03:00:00,-140956560
2020-09-02 03:00:00,-142071764
2020-09-03 03:00:00,-142938138
2020-09-04 03:00:00,-143746480
2020-09-05 03:00:00,-144189723
2020-09-06 03:00:00,-145179715
2020-09-07 03:00:00,-145410580
2020-09-08 03:00:00,-146399107
2020-09-09 03:00:00,-146664253
2020-09-10 03:00:00,-147057885
2020-09-11 03:00:00,-147550401
2020-09-12 03:00:00,-148177276
2020-09-13 03:00:00,-148501400
2020-09-14 03:00:00,-148766673
2020-09-15 03:00:00,-1
2020-09-16 03:00:00,-149424679
2020-09-17 03:00:00,-149690369
2020-09-18 03:00:00,-149874724
2020-09-19 03:00:00,-149988636
2020-09-20 03:00:00,-150008556
2020-09-21 03:00:00,-150083586
2020-09-22 03:00:00,-150064374
2020-09-23 03:00:00,-150006603
2020-09-24 03:00:00,-149947545
2020-09-25 03:00:00,-149815790
2020-09-26 03:00:00,-1
2020-09-27 03:00:00,-1
2020-09-28 03:00:00,-1
2020-09-29 03:00:00,-148825568
2020-09-30 03:00:00,-148598894
2020-10-01 03:00:00,-148099572
2020-10-02 03:00:00,-147776698
2020-10-03 03:00:00,-147090486
2020-10-04 03:00:00,-146434693
2020-10-05 03:00:00,-146041116
2020-10-06 03:00:00,-145627672
2020-10-07 03:00:00,-144496993
2020-10-08 03:00:00,-144292705
2020-10-09 03:00:00,-1
2020-10-10 03:00:00,-1
2020-10-11 03:00:00,-141419405
2020-10-12 03:00:00,-140471237
2020-10-13 03:00:00,-140028908
2020-10-14 03:00:00,-139284277
2020-10-15 03:00:00,-138080152
2020-10-16 03:00:00,-137041587
2020-10-17 03:00:00,-135387796
2020-10-18 03:00:00,-1
2020-10-19 03:00:00,-133685698
2020-10-20 03:00:00,-132484898
2020-10-21 03:00:00,-131596274
2020-10-22 03:00:00,-129456249
2020-10-23 03:00:00,-1
2020-10-24 03:00:00,-1
2020-10-25 03:00:00,-1
2020-10-26 03:00:00,-1
2020-10-27 03:00:00,-123082234
2020-10-28 03:00:00,-120775618
2020-10-29 03:00:00,-119215035
2020-10-30 03:00:00,-117721874
2020-10-31 03:00:00,-1
2020-11-01 03:00:00,-115712636
2020-11-02 03:00:00,-1
2020-11-03 03:00:00,-111237520
2020-11-04 03:00:00,-110023181
2020-11-05 03:00:00,-108355774
2020-11-06 03:00:00,-105454463
2020-11-07 03:00:00,-104559428
2020-11-08 03:00:00,-101678064
2020-11-09 03:00:00,-99877118
2020-11-10 03:00:00,-98940092
2020-11-11 03:00:00,-96696807
2020-11-12 03:00:00,-94955271
2020-11-13 03:00:00,-93566345
2020-11-14 03:00:00,-1
2020-11-15 03:00:00,-89210187
2020-11-16 03:00:00,-87042841
2020-11-17 03:00:00,-84346190
2020-11-18 03:00:00,-82784750
2020-11-19 03:00:00,-80118055
2020-11-20 03:00:00,-76723785
2020-11-21 03:00:00,-75646510
2020-11-22 03:00:00,-73375979
2020-11-23 03:00:00,-71079157
2020-11-24 03:00:00,-68921195
2020-11-25 03:00:00,-65205309
2020-11-26 03:00:00,-63918466
2020-11-27 03:00:00,-1
2020-11-28 03:00:00,-1
2020-11-29 03:00:00,-57410461
2020-11-30 03:00:00,-1
2020-12-01 03:00:00,-51844107
2020-12-02 03:00:00,-48259895
2020-12-03 03:00:00,-47234708
2020-12-04 03:00:00,-44740996
2020-12-05 03:00:00,-40754257
2020-12-06 03:00:00,-40251862
2020-12-07 03:00:00,-36846004
2020-12-08 03:00:00,-33639919
2020-12-09 03:00:00,-32629378
2020-12-10 03:00:00,-28174283
2020-12-11 03:00:00,-26134325
2020-12-12 03:00:00,-24355210
2020-12-13 03:00:00,-20407695
2020-12-14 03:00:00,-19156951
2020-12-15 03:00:00,-16382547
2020-12-16 03:00:00,-13777731
2020-12-17 03:00:00,-11163147
2020-12-18 03:00:00,-8716559
2020-12-19 03:00:00,-1
2020-12-20 03:00:00,-3472892
2020-12-21 03:00:00,-1
2020-12-22 03:00:00,3136782
2020-12-23 03:00:00,4217505
2020-12-24 03:00:00,-1
2020-12-25 03:00:00,-1
2020-12-26 03:00:00,-1
2020-12-27 03:00:00,-1
2020-12-28 03:00:00,-1
2020-12-29 03:00:00,19335191
2020-12-30 03:00:00,22486309
2020-12-31 03:00:00,25241489
2021-01-01 03:00:00,28990000
2021-01-02 03:00:00,30223250
2021-01-03 03:00:00,34115484
2021-01-04 03:00:00,-1
2021-01-05 03:00:00,-1
2021-01-06 03:00:00,-1
2021-01-07 03:00:00,-1
2021-01-08 03:00:00,45594400
2021-01-09 03:00:00,47923861
2021-01-10 03:00:00,51678019
2021-01-11 03:00:00,53020066
2021-01-12 03:00:00,56568882
2021-01-13 03:00:00,-1
2021-01-14 03:00:00,-1
2021-01-15 03:00:00,63597690
2021-01-16 03:00:00,64734191
2021-01-17 03:00:00,66580144
2021-01-18 03:00:00,68913496
2021-01-19 03:00:00,72901105
2021-01-20 03:00:00,74003815
2021-01-21 03:00:00,77430909
2021-01-22 03:00:00,79242686
2021-01-23 03:00:00,81704330
2021-01-24 03:00:00,84026466
2021-01-25 03:00:00,85054413
2021-01-26 03:00:00,88290823
2021-01-27 03:00:00,-1
2021-01-28 03:00:00,91507774
2021-01-29 03:00:00,93427227
2021-01-30 03:00:00,95579799
2021-01-31 03:00:00,97440437
2021-02-01 03:00:00,99402497
2021-02-02 03:00:00,101459291
2021-02-03 03:00:00,103359186
2021-02-04 03:00:00,105226416
2021-02-05 03:00:00,106544727
2021-02-06 03:00:00,108622124
2021-02-07 03:00:00,110395529
2021-02-08 03:00:00,113016581
2021-02-09 03:00:00,113578835
2021-02-10 03:00:00,116348530
2021-02-11 03:00:00,117960522
2021-02-12 03:00:00,118386054
2021-02-13 03:00:00,120797005
2021-02-14 03:00:00,121477293
2021-02-15 03:00:00,124043371
2021-02-16 03:00:00,125464498
2021-02-17 03:00:00,126853181
2021-02-18 03:00:00,128195388
2021-02-19 03:00:00,129503118
2021-02-20 03:00:00,130768826
2021-02-21 03:00:00,131995134
2021-02-22 03:00:00,115613456
2021-02-23 03:00:00,133810397
2021-02-24 03:00:00,134933852
2021-02-25 03:00:00,136489403
2021-02-26 03:00:00,137508096
2021-02-27 03:00:00,138487621
2021-02-28 03:00:00,139423284
2021-03-01 03:00:00,140316840
2021-03-02 03:00:00,140787175
2021-03-03 03:00:00,141331575
2021-03-04 03:00:00,142739361
2021-03-05 03:00:00,142739361
2021-03-06 03:00:00,142739361
2021-03-07 03:00:00,142739361
2021-03-08 03:00:00,142739361
2021-03-09 03:00:00,142739361
2021-03-10 03:00:00,-1
2021-03-11 03:00:00,146835638
2021-03-12 03:00:00,147250311
2021-03-13 03:00:00,147619617
2021-03-14 03:00:00,147802361
2021-03-15 03:00:00,-1
2021-03-16 03:00:00,-1
2021-03-17 03:00:00,-1
2021-03-18 03:00:00,-1
2021-03-19 03:00:00,-1
2021-03-20 03:00:00,-1
2021-03-21 03:00:00,-1
2021-03-22 03:00:00,-1
2021-03-23 03:00:00,148838874
2021-03-24 03:00:00,148776176
2021-03-25 03:00:00,148545057
2021-03-26 03:00:00,148447796
2021-03-27 03:00:00,148230380
2021-03-28 03:00:00,147814682
2021-03-29 03:00:00,147634453
2021-03-30 03:00:00,-1
2021-03-31 03:00:00,-1
2021-04-01 03:00:00,146411605
2021-04-02 03:00:00,145642850
2021-04-03 03:00:00,145340253
2021-04-04 03:00:00,144478087
2021-04-05 03:00:00,144128474
2021-04-06 03:00:00,143140429
2021-04-07 03:00:00,142457757
2021-04-08 03:00:00,141989986
2021-04-09 03:00:00,140815799
2021-04-10 03:00:00,140350571
2021-04-11 03:00:00,139056117
2021-04-12 03:00:00,-1
2021-04-13 03:00:00,137198139
2021-04-14 03:00:00,136106564
2021-04-15 03:00:00,135186724
2021-04-16 03:00:00,134826324
2021-04-17 03:00:00,133394192
2021-04-18 03:00:00,131694557
2021-04-19 03:00:00,130476319
2021-04-20 03:00:00,129874776
