Time,Moon Position 1
2020-08-26 03:00:00,-79192.0
2020-08-27 03:00:00,-9499.0
2020-08-28 03:00:00,34909.0
2020-08-29 03:00:00,121858.0
2020-08-30 03:00:00,249386.0
2020-08-31 03:00:00,315332.0
2020-09-01 03:00:00,339546.0
2020-09-02 03:00:00,385966.0
2020-09-03 03:00:00,397383.0
2020-09-04 03:00:00,395355.0
2020-09-05 03:00:00,382746.0
2020-09-06 03:00:00,327530.0
2020-09-07 03:00:00,308856.0
2020-09-08 03:00:00,202020.0
2020-09-09 03:00:00,165692.0
2020-09-10 03:00:00,105711.0
2020-09-11 03:00:00,20815.0
2020-09-12 03:00:00,-100854.0
2020-09-13 03:00:00,-167540.0
2020-09-14 03:00:00,-222084.0
2020-09-15 03:00:00,1.0
2020-09-16 03:00:00,-337863.0
2020-09-17 03:00:00,-358216.0
2020-09-18 03:00:00,-345803.0
2020-09-19 03:00:00,-311001.0
2020-09-20 03:00:00,-300072.0
2020-09-21 03:00:00,-180504.0
2020-09-22 03:00:00,-141947.0
2020-09-23 03:00:00,-21854.0
2020-09-24 03:00:00,32914.0
2020-09-25 03:00:00,120120.0
2020-09-26 03:00:00,1.0
2020-09-27 03:00:00,1.0
2020-09-28 03:00:00,1.0
2020-09-29 03:00:00,373574.0
2020-09-30 03:00:00,390880.0
2020-10-01 03:00:00,402468.0
2020-10-02 03:00:00,395491.0
2020-10-03 03:00:00,355091.0
2020-10-04 03:00:00,295098.0
2020-10-05 03:00:00,252925.0
2020-10-06 03:00:00,205558.0
2020-10-07 03:00:00,69632.0
2020-10-08 03:00:00,45143.0
2020-10-09 03:00:00,1.0
2020-10-10 03:00:00,1.0
2020-10-11 03:00:00,-243515.0
2020-10-12 03:00:00,-303287.0
2020-10-13 03:00:00,-323844.0
2020-10-14 03:00:00,-347669.0
2020-10-15 03:00:00,-358052.0
2020-10-16 03:00:00,-341098.0
2020-10-17 03:00:00,-273432.0
2020-10-18 03:00:00,1.0
2020-10-19 03:00:00,-168177.0
2020-10-20 03:00:00,-82965.0
2020-10-21 03:00:00,-18311.0
2020-10-22 03:00:00,130271.0
2020-10-23 03:00:00,1.0
2020-10-24 03:00:00,1.0
2020-10-25 03:00:00,1.0
2020-10-26 03:00:00,1.0
2020-10-27 03:00:00,390631.0
2020-10-28 03:00:00,401668.0
2020-10-29 03:00:00,386080.0
2020-10-30 03:00:00,355872.0
2020-10-31 03:00:00,1.0
2020-11-01 03:00:00,295372.0
2020-11-02 03:00:00,1.0
2020-11-03 03:00:00,106251.0
2020-11-04 03:00:00,48566.0
2020-11-05 03:00:00,-30771.0
2020-11-06 03:00:00,-160490.0
2020-11-07 03:00:00,-196415.0
2020-11-08 03:00:00,-292238.0
2020-11-09 03:00:00,-333209.0
2020-11-10 03:00:00,-347919.0
2020-11-11 03:00:00,-363506.0
2020-11-12 03:00:00,-356123.0
2020-11-13 03:00:00,-338321.0
2020-11-14 03:00:00,1.0
2020-11-15 03:00:00,-223199.0
2020-11-16 03:00:00,-141382.0
2020-11-17 03:00:00,-28822.0
2020-11-18 03:00:00,37479.0
2020-11-19 03:00:00,145624.0
2020-11-20 03:00:00,263095.0
2020-11-21 03:00:00,293874.0
2020-11-22 03:00:00,346739.0
2020-11-23 03:00:00,382500.0
2020-11-24 03:00:00,399318.0
