Time,tlm_mb_battpack_0_element_0_current mA (A)
2023-07-18 03:00:00,81.0
2023-07-18 03:00:00,78.0
2023-07-18 03:00:00,45.0
2023-07-18 03:00:00,12.0
2023-07-18 03:00:00,261.0
2023-07-18 03:00:00,4.0
2023-07-18 03:00:00,102.0
2023-07-18 03:00:00,86.0
2023-07-18 03:00:00,98.0
2023-07-18 03:00:00,106.0
2023-07-18 03:00:00,91.0
2023-07-18 03:00:00,85.0
2023-07-18 03:00:00,98.0
2023-07-18 03:00:00,89.0
2023-07-18 03:00:00,82.0
2023-07-18 03:00:00,74.0
2023-07-18 03:00:00,52.4
2023-07-18 03:00:00,52.4
2023-07-18 03:00:00,96.0
2023-07-18 03:00:00,88.0
2023-07-18 03:00:00,52.4
2023-07-18 03:00:00,67.0
2023-07-18 03:00:00,52.4
2023-07-18 03:00:00,52.4
2023-07-18 03:00:00,35.0
2023-07-18 03:00:00,63.0
2023-07-18 03:00:00,64.0
2023-07-18 03:00:00,60.0
2023-07-18 03:00:00,58.0
2023-07-18 03:00:00,29.0
2023-07-19 03:00:00,78.0
2023-07-19 03:00:00,90.0
2023-07-19 03:00:00,74.0
2023-07-19 03:00:00,73.0
2023-07-19 03:00:00,48.0
2023-07-19 03:00:00,43.0
2023-07-19 03:00:00,18.0
2023-07-19 03:00:00,52.3
2023-07-19 03:00:00,62.0
2023-07-19 03:00:00,91.0
2023-07-19 03:00:00,85.0
2023-07-19 03:00:00,76.0
2023-07-19 03:00:00,102.0
2023-07-19 03:00:00,109.0
2023-07-19 03:00:00,98.0
2023-07-19 03:00:00,82.0
2023-07-19 03:00:00,89.0
2023-07-19 03:00:00,103.0
2023-07-19 03:00:00,121.0
2023-07-19 03:00:00,90.0
2023-07-19 03:00:00,99.0
2023-07-19 03:00:00,106.0
2023-07-19 03:00:00,96.0
2023-07-19 03:00:00,94.0
2023-07-19 03:00:00,52.4
2023-07-19 03:00:00,105.0
2023-07-19 03:00:00,97.0
2023-07-19 03:00:00,225.0
2023-07-19 03:00:00,261.0
2023-07-19 03:00:00,12.0
2023-07-19 03:00:00,68.0
2023-07-19 03:00:00,202.0
2023-07-19 03:00:00,66.0
2023-07-19 03:00:00,70.0
2023-07-19 03:00:00,42.0
2023-07-19 03:00:00,40.0
2023-07-19 03:00:00,52.4
2023-07-20 03:00:00,83.0
2023-07-20 03:00:00,80.0
2023-07-20 03:00:00,90.0
2023-07-20 03:00:00,98.0
2023-07-20 03:00:00,89.0
2023-07-20 03:00:00,79.0
2023-07-20 03:00:00,45.0
2023-07-20 03:00:00,42.0
2023-07-20 03:00:00,52.4
2023-07-20 03:00:00,52.4
2023-07-20 03:00:00,65.0
2023-07-20 03:00:00,93.0
2023-07-20 03:00:00,106.0
2023-07-20 03:00:00,104.0
2023-07-20 03:00:00,85.0
2023-07-20 03:00:00,94.0
2023-07-20 03:00:00,74.0
2023-07-20 03:00:00,111.0
2023-07-20 03:00:00,103.0
2023-07-20 03:00:00,87.0
2023-07-20 03:00:00,110.0
2023-07-20 03:00:00,77.0
2023-07-20 03:00:00,96.0
2023-07-20 03:00:00,95.0
2023-07-20 03:00:00,70.0
2023-07-20 03:00:00,44.0
2023-07-20 03:00:00,42.0
2023-07-20 03:00:00,52.4
2023-07-20 03:00:00,4.0
2023-07-20 03:00:00,261.0
2023-07-20 03:00:00,56.0
2023-07-20 03:00:00,252.0
