"Time","tlm_mb_adc_temp_1"
2023-07-21 03:00:00,6.5 °C
2023-07-21 03:00:00,7.1 °C
2023-07-21 03:00:00,4.6 °C
2023-07-21 03:00:00,5.4 °C
2023-07-21 03:00:00,6.0 °C
2023-07-21 03:00:00,6.4 °C
2023-07-21 03:00:00,7.0 °C
2023-07-21 03:00:00,7.9 °C
2023-07-21 03:00:00,3.6 °C
2023-07-21 03:00:00,4.9 °C
2023-07-21 03:00:00,5.6 °C
2023-07-21 03:00:00,7.6 °C
2023-07-21 03:00:00,8.1 °C
2023-07-21 03:00:00,2.2 °C
2023-07-21 03:00:00,15 °C
2023-07-21 03:00:00,15 °C
2023-07-21 03:00:00,15 °C
2023-07-21 03:00:00,508 °C
2023-07-21 03:00:00,0.12 °C
2023-07-21 03:00:00,505 °C
2023-07-21 03:00:00,504 °C
2023-07-21 03:00:00,505 °C
2023-07-21 03:00:00,9.1 °C
2023-07-21 03:00:00,10 °C
2023-07-21 03:00:00,11 °C
2023-07-21 03:00:00,11 °C
2023-07-21 03:00:00,12 °C
2023-07-22 03:00:00,7.0 °C
2023-07-22 03:00:00,7.6 °C
2023-07-22 03:00:00,8.2 °C
2023-07-22 03:00:00,8.6 °C
2023-07-22 03:00:00,10.0 °C
2023-07-22 03:00:00,15 °C
2023-07-22 03:00:00,4.5 °C
2023-07-22 03:00:00,5.1 °C
2023-07-22 03:00:00,6.4 °C
2023-07-22 03:00:00,6.0 °C
2023-07-22 03:00:00,8.0 °C
2023-07-22 03:00:00,3.2 °C
2023-07-22 03:00:00,504 °C
2023-07-22 03:00:00,503 °C
2023-07-22 03:00:00,503 °C
2023-07-22 03:00:00,503 °C
2023-07-22 03:00:00,504 °C
2023-07-22 03:00:00,0.12 °C
