"Time","57175.distinct"
2023-07-20 03:00:00,35.83 °C
2023-07-20 03:00:00,33.47 °C
2023-07-20 03:00:00,33.31 °C
2023-07-20 03:00:00,33.13 °C
2023-07-20 03:00:00,527.15 °C
2023-07-20 03:00:00,527.13 °C
2023-07-20 03:00:00,36.75 °C
2023-07-20 03:00:00,526.74 °C
2023-07-20 03:00:00,36.14 °C
2023-07-20 03:00:00,35.71 °C
2023-07-20 03:00:00,33.19 °C
2023-07-20 03:00:00,33.03 °C
2023-07-20 03:00:00,37.93 °C
2023-07-20 03:00:00,37.75 °C
2023-07-20 03:00:00,37.50 °C
2023-07-20 03:00:00,36.68 °C
2023-07-20 03:00:00,38.57 °C
2023-07-20 03:00:00,38.39 °C
2023-07-20 03:00:00,38.08 °C
2023-07-20 03:00:00,37.60 °C
2023-07-20 03:00:00,37.38 °C
2023-07-20 03:00:00,38.51 °C
2023-07-20 03:00:00,38.61 °C
2023-07-20 03:00:00,37.78 °C
2023-07-20 03:00:00,38.86 °C
2023-07-20 03:00:00,38.25 °C
2023-07-20 03:00:00,38.06 °C
2023-07-20 03:00:00,34.87 °C
2023-07-20 03:00:00,35.19 °C
2023-07-20 03:00:00,35.51 °C
2023-07-20 03:00:00,38.36 °C
2023-07-20 03:00:00,36.62 °C
2023-07-20 03:00:00,526.73 °C
2023-07-20 03:00:00,526.60 °C
2023-07-20 03:00:00,526.45 °C
2023-07-20 03:00:00,526.80 °C
2023-07-20 03:00:00,526.71 °C
2023-07-20 03:00:00,526.63 °C
2023-07-20 03:00:00,526.49 °C
2023-07-20 03:00:00,35.34 °C
2023-07-20 03:00:00,33.20 °C
2023-07-27 03:00:00,36.98 °C
2023-07-27 03:00:00,36.78 °C
2023-07-27 03:00:00,36.56 °C
2023-07-27 03:00:00,35.98 °C
2023-07-27 03:00:00,33.23 °C
2023-07-27 03:00:00,38.58 °C
2023-07-27 03:00:00,38.27 °C
2023-07-27 03:00:00,38.11 °C
2023-07-27 03:00:00,37.94 °C
2023-07-27 03:00:00,39.83 °C
2023-07-27 03:00:00,38.68 °C
2023-07-27 03:00:00,38.54 °C
