Time,57175.distinct (°C)
2023-11-16 03:00:00,36.35
2023-11-16 03:00:00,36.2
2023-11-16 03:00:00,37.29
2023-11-16 03:00:00,29.48
2023-11-16 03:00:00,29.77
2023-11-16 03:00:00,36.99
2023-11-16 03:00:00,27.62
2023-11-16 03:00:00,33.74
2023-11-16 03:00:00,33.22
2023-11-16 03:00:00,27.44
2023-11-16 03:00:00,36.86
2023-11-16 03:00:00,33.04
2023-11-16 03:00:00,33.8
2023-11-16 03:00:00,34.14
2023-11-16 03:00:00,36.71
2023-11-16 03:00:00,36.55
2023-11-16 03:00:00,36.26
2023-11-16 03:00:00,36.1
2023-11-16 03:00:00,35.79
2023-11-16 03:00:00,33.01
2023-11-16 03:00:00,33.65
2023-11-16 03:00:00,34.11
2023-11-16 03:00:00,37.14
2023-11-16 03:00:00,36.93
2023-11-16 03:00:00,28.71
2023-11-16 03:00:00,28.97
2023-11-16 03:00:00,29.85
2023-11-16 03:00:00,30.19
2023-11-16 03:00:00,37.05
2023-11-16 03:00:00,37.11
2023-11-16 03:00:00,36.95
2023-11-16 03:00:00,27.43
2023-11-16 03:00:00,36.66
2023-11-16 03:00:00,33.28
2023-11-16 03:00:00,33.62
2023-11-16 03:00:00,33.99
2023-11-16 03:00:00,34.62
2023-11-16 03:00:00,31.76
2023-11-16 03:00:00,36.81
2023-11-16 03:00:00,36.68
2023-11-16 03:00:00,36.38
2023-11-16 03:00:00,33.32
2023-11-16 03:00:00,33.66
2023-11-16 03:00:00,34.1
2023-11-16 03:00:00,36.61
2023-11-16 03:00:00,30.29
2023-11-16 03:00:00,30.58
2023-11-16 03:00:00,29.69
2023-11-16 03:00:00,30.01
2023-11-16 03:00:00,37.08
2023-11-16 03:00:00,36.78
2023-11-16 03:00:00,27.29
2023-11-16 03:00:00,35.92
2023-11-16 03:00:00,32.88
2023-11-16 03:00:00,33.56
2023-11-16 03:00:00,34.33
2023-11-16 03:00:00,37.39
2023-11-16 03:00:00,37.24
2023-11-16 03:00:00,37.04
2023-11-16 03:00:00,36.9
2023-11-16 03:00:00,30.41
2023-11-16 03:00:00,31.04
2023-11-16 03:00:00,31.39
2023-11-16 03:00:00,29.24
2023-11-16 03:00:00,29.55
2023-11-16 03:00:00,29.86
2023-11-16 03:00:00,30.74
2023-11-16 03:00:00,37.18
2023-11-16 03:00:00,37.26
2023-11-16 03:00:00,36.41
2023-11-16 03:00:00,36.46
2023-11-16 03:00:00,32.71
2023-11-16 03:00:00,33.4
2023-11-16 03:00:00,31.88
2023-11-16 03:00:00,32.51
2023-11-16 03:00:00,33.96
2023-11-16 03:00:00,33.46
2023-11-16 03:00:00,33.81
2023-11-16 03:00:00,33.55
2023-11-16 03:00:00,37.17
2023-11-16 03:00:00,37.1
2023-11-16 03:00:00,36.32
2023-11-16 03:00:00,31.69
2023-11-16 03:00:00,37.38
2023-11-16 03:00:00,29.18
2023-11-16 03:00:00,29.73
2023-11-16 03:00:00,30.4
2023-11-16 03:00:00,36.87
2023-11-16 03:00:00,37.01
2023-11-16 03:00:00,36.98
2023-11-16 03:00:00,36.47
2023-11-16 03:00:00,32.85
2023-11-16 03:00:00,33.19
2023-11-16 03:00:00,32.05
2023-11-16 03:00:00,32.39
2023-11-16 03:00:00,32.73
2023-11-16 03:00:00,33.1
2023-11-16 03:00:00,36.13
2023-11-16 03:00:00,32.98
2023-11-16 03:00:00,32.6
2023-11-16 03:00:00,36.4
2023-11-16 03:00:00,37.3
2023-11-16 03:00:00,27.93
2023-11-16 03:00:00,32.97
2023-11-16 03:00:00,33.03
2023-11-16 03:00:00,33.38
2023-11-16 03:00:00,36.84
2023-11-16 03:00:00,36.72
2023-11-23 03:00:00,30.53
2023-11-23 03:00:00,31.5
2023-11-23 03:00:00,37.2
2023-11-23 03:00:00,37.18
2023-11-23 03:00:00,37.04
2023-11-23 03:00:00,36.99
2023-11-23 03:00:00,36.69
2023-11-23 03:00:00,33.29
2023-11-23 03:00:00,37.44
2023-11-23 03:00:00,37.36
2023-11-23 03:00:00,37.3
2023-11-23 03:00:00,37.13
2023-11-23 03:00:00,36.78
2023-11-23 03:00:00,37.17
2023-11-23 03:00:00,32.92
2023-11-23 03:00:00,33.26
2023-11-23 03:00:00,33.62
2023-11-23 03:00:00,33.98
2023-11-23 03:00:00,34.32
2023-11-23 03:00:00,33.01
2023-11-23 03:00:00,33.35
2023-11-23 03:00:00,33.69
2023-11-23 03:00:00,37.01
2023-11-23 03:00:00,37.29
2023-11-23 03:00:00,33.43
2023-11-23 03:00:00,33.15
2023-11-23 03:00:00,33.81
2023-11-23 03:00:00,34.62
2023-11-23 03:00:00,34.42
2023-11-23 03:00:00,37.21
2023-11-23 03:00:00,34.07
2023-11-23 03:00:00,33.86
2023-11-23 03:00:00,35.94
2023-11-23 03:00:00,31.33
2023-11-23 03:00:00,32.03
2023-11-23 03:00:00,29.98
2023-11-23 03:00:00,30.29
2023-11-23 03:00:00,30.56
2023-11-23 03:00:00,37.38
2023-11-23 03:00:00,37.26
2023-11-23 03:00:00,37.27
2023-11-23 03:00:00,28.22
2023-11-23 03:00:00,27.89
2023-11-23 03:00:00,33.95
2023-11-23 03:00:00,34.29
2023-11-23 03:00:00,33.03
2023-11-23 03:00:00,34.9
2023-11-23 03:00:00,34.66
2023-11-23 03:00:00,37.6
2023-11-23 03:00:00,37.57
2023-11-23 03:00:00,37.05
2023-11-23 03:00:00,34.54
2023-11-23 03:00:00,30.04
2023-11-23 03:00:00,30.61
2023-11-23 03:00:00,30.95
2023-11-23 03:00:00,31.56
2023-11-23 03:00:00,30.93
2023-11-23 03:00:00,31.23
2023-11-23 03:00:00,29.37
2023-11-23 03:00:00,29.66
2023-11-23 03:00:00,30.25
2023-11-23 03:00:00,37.48
2023-11-23 03:00:00,37.47
2023-11-23 03:00:00,28.05
2023-11-23 03:00:00,31.24
2023-11-23 03:00:00,31.59
2023-11-23 03:00:00,32.86
2023-11-23 03:00:00,33.61
2023-11-23 03:00:00,33.32
2023-11-23 03:00:00,34.51
2023-11-23 03:00:00,34.3
2023-11-23 03:00:00,34.72
2023-11-23 03:00:00,30.78
2023-11-23 03:00:00,31.41
2023-11-23 03:00:00,31.11
2023-11-23 03:00:00,31.42
2023-11-23 03:00:00,28.51
2023-11-23 03:00:00,28.39
2023-11-23 03:00:00,28.29
2023-11-23 03:00:00,37.7
2023-11-23 03:00:00,37.69
2023-11-23 03:00:00,37.79
2023-11-23 03:00:00,37.75
2023-11-23 03:00:00,37.51
2023-11-23 03:00:00,37.41
2023-11-23 03:00:00,35.11
2023-11-23 03:00:00,34.73
2023-11-23 03:00:00,31.39
2023-11-23 03:00:00,28.26
2023-11-23 03:00:00,28.81
2023-11-23 03:00:00,37.76
2023-11-23 03:00:00,32.76
2023-11-23 03:00:00,32.68
2023-11-23 03:00:00,33.06
2023-11-23 03:00:00,33.4
2023-11-23 03:00:00,33.72
2023-11-23 03:00:00,34.05
2023-11-23 03:00:00,37.39
2023-11-23 03:00:00,34.65
2023-11-30 03:00:00,34.63
2023-11-30 03:00:00,31.54
2023-11-30 03:00:00,31.88
2023-11-30 03:00:00,36.4
2023-11-30 03:00:00,31.24
2023-11-30 03:00:00,30.18
2023-11-30 03:00:00,30.72
2023-11-30 03:00:00,37.87
2023-11-30 03:00:00,28.5
2023-11-30 03:00:00,37.73
2023-11-30 03:00:00,37.78
2023-11-30 03:00:00,33.34
2023-11-30 03:00:00,33.66
2023-11-30 03:00:00,37.59
2023-11-30 03:00:00,34.76
2023-11-30 03:00:00,37.6
2023-11-30 03:00:00,37.36
2023-11-30 03:00:00,30.77
2023-11-30 03:00:00,31.1
2023-11-30 03:00:00,31.42
2023-11-30 03:00:00,32.34
2023-11-30 03:00:00,36.32
2023-11-30 03:00:00,31.51
2023-11-30 03:00:00,31.05
2023-11-30 03:00:00,28.63
2023-11-30 03:00:00,28.59
2023-11-30 03:00:00,28.87
2023-11-30 03:00:00,37.97
2023-11-30 03:00:00,37.96
2023-11-30 03:00:00,37.91
2023-11-30 03:00:00,37.79
2023-11-30 03:00:00,37.64
2023-11-30 03:00:00,35.16
2023-11-30 03:00:00,34.96
2023-11-30 03:00:00,30.81
2023-11-30 03:00:00,32.05
2023-11-30 03:00:00,31.44
2023-11-30 03:00:00,31.75
2023-11-30 03:00:00,32.42
2023-11-30 03:00:00,29.11
2023-11-30 03:00:00,28.79
2023-11-30 03:00:00,33.16
2023-11-30 03:00:00,33.52
2023-11-30 03:00:00,33.86
2023-11-30 03:00:00,34.18
2023-11-30 03:00:00,38.02
2023-11-30 03:00:00,37.76
2023-11-30 03:00:00,37.48
2023-11-30 03:00:00,34.16
2023-11-30 03:00:00,35.12
2023-11-30 03:00:00,35.19
2023-11-30 03:00:00,31.97
2023-11-30 03:00:00,32.58
2023-11-30 03:00:00,33.26
2023-11-30 03:00:00,36.83
2023-11-30 03:00:00,30.16
2023-11-30 03:00:00,30.04
2023-11-30 03:00:00,29.03
2023-11-30 03:00:00,33.09
2023-11-30 03:00:00,33.44
2023-11-30 03:00:00,38.0
2023-11-30 03:00:00,37.81
2023-11-30 03:00:00,37.7
2023-11-30 03:00:00,37.15
2023-11-30 03:00:00,38.12
2023-11-30 03:00:00,38.15
2023-11-30 03:00:00,29.22
2023-11-30 03:00:00,38.06
2023-11-30 03:00:00,33.0
2023-11-30 03:00:00,33.65
2023-11-30 03:00:00,38.05
2023-11-30 03:00:00,37.26
2023-11-30 03:00:00,35.34
2023-11-30 03:00:00,38.37
2023-11-30 03:00:00,38.33
2023-11-30 03:00:00,38.22
2023-11-30 03:00:00,33.15
2023-11-30 03:00:00,33.49
2023-11-30 03:00:00,38.25
2023-11-30 03:00:00,38.27
2023-11-30 03:00:00,31.11
2023-11-30 03:00:00,38.18
2023-11-30 03:00:00,29.28
2023-11-30 03:00:00,29.3
2023-11-30 03:00:00,38.08
2023-11-30 03:00:00,33.68
2023-11-30 03:00:00,34.04
2023-11-30 03:00:00,33.43
2023-11-30 03:00:00,34.36
2023-11-30 03:00:00,34.72
2023-11-30 03:00:00,38.03
2023-11-30 03:00:00,37.75
2023-11-30 03:00:00,35.73
2023-11-30 03:00:00,38.51
2023-11-30 03:00:00,38.42
2023-11-30 03:00:00,38.13
2023-11-30 03:00:00,36.0
2023-11-30 03:00:00,35.8
2023-11-30 03:00:00,35.58
2023-11-30 03:00:00,30.03
2023-11-30 03:00:00,29.88
2023-11-30 03:00:00,29.76
2023-11-30 03:00:00,32.95
2023-11-30 03:00:00,33.58
2023-11-30 03:00:00,31.93
2023-11-30 03:00:00,32.24
2023-11-30 03:00:00,32.55
2023-11-30 03:00:00,32.89
2023-11-30 03:00:00,38.24
2023-11-30 03:00:00,30.56
2023-11-30 03:00:00,38.28
2023-11-30 03:00:00,38.3
2023-11-30 03:00:00,29.7
2023-11-30 03:00:00,29.36
2023-11-30 03:00:00,35.92
2023-11-30 03:00:00,37.45
2023-11-30 03:00:00,29.25
2023-11-30 03:00:00,38.11
2023-11-30 03:00:00,33.69
2023-11-30 03:00:00,34.32
2023-11-30 03:00:00,32.86
2023-11-30 03:00:00,33.81
2023-11-30 03:00:00,34.13
2023-11-30 03:00:00,34.44
2023-11-30 03:00:00,35.4
2023-12-07 03:00:00,38.51
2023-12-07 03:00:00,38.42
2023-12-07 03:00:00,38.27
2023-12-07 03:00:00,38.08
2023-12-07 03:00:00,37.97
2023-12-07 03:00:00,32.82
2023-12-07 03:00:00,33.13
2023-12-07 03:00:00,37.04
2023-12-07 03:00:00,38.28
2023-12-07 03:00:00,38.12
2023-12-07 03:00:00,38.21
2023-12-07 03:00:00,38.19
2023-12-07 03:00:00,38.18
2023-12-07 03:00:00,38.13
2023-12-07 03:00:00,29.51
2023-12-07 03:00:00,31.57
2023-12-07 03:00:00,31.88
2023-12-07 03:00:00,32.85
2023-12-07 03:00:00,29.24
2023-12-07 03:00:00,38.0
2023-12-07 03:00:00,37.94
2023-12-07 03:00:00,34.05
2023-12-07 03:00:00,34.38
2023-12-07 03:00:00,33.22
2023-12-07 03:00:00,33.55
2023-12-07 03:00:00,33.9
2023-12-07 03:00:00,34.21
2023-12-07 03:00:00,38.03
2023-12-07 03:00:00,37.96
2023-12-07 03:00:00,37.84
2023-12-07 03:00:00,37.7
2023-12-07 03:00:00,35.64
2023-12-07 03:00:00,35.4
2023-12-07 03:00:00,33.32
2023-12-07 03:00:00,31.76
2023-12-07 03:00:00,32.08
2023-12-07 03:00:00,38.34
2023-12-07 03:00:00,38.37
2023-12-07 03:00:00,38.3
2023-12-07 03:00:00,30.09
2023-12-07 03:00:00,29.12
2023-12-07 03:00:00,38.33
2023-12-07 03:00:00,38.09
2023-12-07 03:00:00,34.26
2023-12-07 03:00:00,34.57
2023-12-07 03:00:00,34.93
2023-12-07 03:00:00,33.64
2023-12-07 03:00:00,34.94
2023-12-07 03:00:00,35.3
2023-12-07 03:00:00,37.91
2023-12-07 03:00:00,37.79
2023-12-07 03:00:00,37.36
2023-12-07 03:00:00,35.68
2023-12-07 03:00:00,35.08
2023-12-07 03:00:00,35.51
2023-12-07 03:00:00,32.73
2023-12-07 03:00:00,33.35
2023-12-07 03:00:00,36.96
2023-12-07 03:00:00,36.61
2023-12-07 03:00:00,38.43
2023-12-07 03:00:00,30.93
2023-12-07 03:00:00,31.2
2023-12-07 03:00:00,38.25
2023-12-07 03:00:00,38.46
2023-12-07 03:00:00,29.48
2023-12-07 03:00:00,29.4
2023-12-07 03:00:00,38.39
2023-12-07 03:00:00,38.15
2023-12-07 03:00:00,34.04
2023-12-07 03:00:00,32.89
2023-12-07 03:00:00,34.85
2023-12-07 03:00:00,35.19
2023-12-07 03:00:00,37.72
2023-12-07 03:00:00,37.6
2023-12-07 03:00:00,33.86
2023-12-07 03:00:00,34.17
2023-12-07 03:00:00,35.77
2023-12-07 03:00:00,38.22
2023-12-07 03:00:00,32.98
2023-12-07 03:00:00,33.31
2023-12-07 03:00:00,30.18
2023-12-07 03:00:00,30.65
2023-12-07 03:00:00,30.95
2023-12-07 03:00:00,29.42
2023-12-07 03:00:00,29.31
2023-12-07 03:00:00,38.52
2023-12-07 03:00:00,38.05
2023-12-07 03:00:00,37.78
2023-12-07 03:00:00,37.64
2023-12-07 03:00:00,37.48
2023-12-07 03:00:00,35.61
2023-12-07 03:00:00,35.39
2023-12-07 03:00:00,38.02
2023-12-07 03:00:00,32.19
2023-12-07 03:00:00,30.25
2023-12-07 03:00:00,30.46
2023-12-07 03:00:00,30.69
2023-12-07 03:00:00,31.24
2023-12-07 03:00:00,38.24
2023-12-07 03:00:00,29.61
2023-12-07 03:00:00,37.9
2023-12-07 03:00:00,34.78
2023-12-07 03:00:00,38.11
2023-12-07 03:00:00,35.74
2023-12-07 03:00:00,35.52
2023-12-07 03:00:00,35.34
2023-12-07 03:00:00,31.08
2023-12-07 03:00:00,37.85
2023-12-07 03:00:00,37.76
2023-12-07 03:00:00,37.93
2023-12-07 03:00:00,37.82
2023-12-07 03:00:00,35.89
2023-12-07 03:00:00,35.49
2023-12-07 03:00:00,35.12
2023-12-07 03:00:00,31.5
2023-12-07 03:00:00,31.79
2023-12-07 03:00:00,30.32
2023-12-07 03:00:00,29.3
2023-12-07 03:00:00,29.46
2023-12-07 03:00:00,32.6
2023-12-07 03:00:00,32.94
2023-12-07 03:00:00,34.23
2023-12-07 03:00:00,34.56
2023-12-07 03:00:00,34.91
2023-12-07 03:00:00,33.53
2023-12-07 03:00:00,35.54
2023-12-07 03:00:00,34.97
2023-12-14 03:00:00,31.07
2023-12-14 03:00:00,31.35
2023-12-14 03:00:00,31.94
2023-12-14 03:00:00,29.73
2023-12-14 03:00:00,30.0
2023-12-14 03:00:00,30.23
2023-12-14 03:00:00,30.72
2023-12-14 03:00:00,38.0
2023-12-14 03:00:00,37.96
2023-12-14 03:00:00,32.25
2023-12-14 03:00:00,37.21
2023-12-14 03:00:00,29.09
2023-12-14 03:00:00,38.21
2023-12-14 03:00:00,38.11
2023-12-14 03:00:00,37.85
2023-12-14 03:00:00,37.78
2023-12-14 03:00:00,37.63
2023-12-14 03:00:00,37.48
2023-12-14 03:00:00,33.44
2023-12-14 03:00:00,33.8
2023-12-14 03:00:00,34.13
2023-12-14 03:00:00,34.44
2023-12-14 03:00:00,37.79
2023-12-14 03:00:00,33.81
2023-12-14 03:00:00,34.14
2023-12-14 03:00:00,35.3
2023-12-14 03:00:00,34.9
2023-12-14 03:00:00,38.22
2023-12-14 03:00:00,38.19
2023-12-14 03:00:00,38.15
2023-12-14 03:00:00,38.09
2023-12-14 03:00:00,38.02
2023-12-14 03:00:00,37.88
2023-12-14 03:00:00,29.58
2023-12-14 03:00:00,30.1
2023-12-14 03:00:00,30.35
2023-12-14 03:00:00,30.83
2023-12-14 03:00:00,37.94
2023-12-14 03:00:00,37.93
2023-12-14 03:00:00,37.91
2023-12-14 03:00:00,28.88
2023-12-14 03:00:00,37.99
2023-12-14 03:00:00,37.84
2023-12-14 03:00:00,37.76
2023-12-14 03:00:00,37.75
2023-12-14 03:00:00,37.6
2023-12-14 03:00:00,37.38
2023-12-14 03:00:00,37.66
2023-12-14 03:00:00,37.56
2023-12-14 03:00:00,37.39
2023-12-14 03:00:00,33.25
2023-12-14 03:00:00,33.58
2023-12-14 03:00:00,34.21
2023-12-14 03:00:00,35.54
2023-12-14 03:00:00,35.14
2023-12-14 03:00:00,34.94
2023-12-14 03:00:00,33.07
2023-12-14 03:00:00,28.71
2023-12-14 03:00:00,28.5
2023-12-14 03:00:00,30.65
2023-12-14 03:00:00,32.24
2023-12-14 03:00:00,32.58
2023-12-14 03:00:00,37.57
2023-12-14 03:00:00,37.44
2023-12-14 03:00:00,37.33
2023-12-14 03:00:00,34.47
2023-12-14 03:00:00,34.84
2023-12-14 03:00:00,37.3
2023-12-14 03:00:00,33.13
2023-12-14 03:00:00,33.77
2023-12-14 03:00:00,35.39
2023-12-14 03:00:00,35.19
2023-12-14 03:00:00,34.97
2023-12-14 03:00:00,32.0
2023-12-14 03:00:00,37.35
2023-12-14 03:00:00,37.45
2023-12-14 03:00:00,37.64
2023-12-14 03:00:00,28.54
2023-12-14 03:00:00,37.51
2023-12-14 03:00:00,37.18
2023-12-14 03:00:00,37.08
2023-12-14 03:00:00,32.85
2023-12-14 03:00:00,32.89
2023-12-14 03:00:00,33.23
2023-12-14 03:00:00,35.24
2023-12-14 03:00:00,35.02
2023-12-14 03:00:00,34.82
2023-12-14 03:00:00,34.59
2023-12-14 03:00:00,30.49
2023-12-14 03:00:00,30.77
2023-12-14 03:00:00,31.76
2023-12-14 03:00:00,30.18
2023-12-14 03:00:00,30.44
2023-12-14 03:00:00,37.72
2023-12-14 03:00:00,28.3
2023-12-14 03:00:00,29.85
2023-12-14 03:00:00,30.16
2023-12-14 03:00:00,31.66
2023-12-14 03:00:00,32.03
2023-12-14 03:00:00,32.37
2023-12-14 03:00:00,37.11
2023-12-14 03:00:00,36.99
2023-12-14 03:00:00,36.89
2023-12-14 03:00:00,32.83
2023-12-14 03:00:00,34.16
2023-12-14 03:00:00,32.82
2023-12-14 03:00:00,34.88
2023-12-14 03:00:00,34.65
2023-12-14 03:00:00,30.61
2023-12-14 03:00:00,31.51
2023-12-14 03:00:00,29.66
2023-12-14 03:00:00,29.95
2023-12-14 03:00:00,30.25
2023-12-14 03:00:00,30.81
2023-12-14 03:00:00,28.14
2023-12-14 03:00:00,32.02
2023-12-14 03:00:00,34.79
2023-12-14 03:00:00,31.7
2023-12-14 03:00:00,37.42
2023-12-14 03:00:00,37.29
2023-12-14 03:00:00,27.92
2023-12-14 03:00:00,27.8
2023-12-14 03:00:00,37.1
2023-12-14 03:00:00,37.02
2023-12-14 03:00:00,36.93
2023-12-14 03:00:00,36.84
2023-12-14 03:00:00,36.77
2023-12-14 03:00:00,33.68
2023-12-14 03:00:00,32.67
