"Time","tlm_mb_solarpanel_1_current()"
2023-12-16 03:00:00,187 
2023-12-16 03:00:00,15 
2023-12-16 03:00:00,11 
2023-12-16 03:00:00,2.9 
2023-12-16 03:00:00,23 
2023-12-16 03:00:00,13 
2023-12-17 03:00:00,2.7 
2023-12-17 03:00:00,22 
2023-12-17 03:00:00,155 
2023-12-17 03:00:00,170 
2023-12-17 03:00:00,441 
2023-12-17 03:00:00,99 
2023-12-17 03:00:00,4.4 
2023-12-17 03:00:00,5.9 
2023-12-17 03:00:00,10 
2023-12-17 03:00:00,24 
2023-12-17 03:00:00,18 
2023-12-17 03:00:00,324 
2023-12-17 03:00:00,166 
2023-12-17 03:00:00,120 
2023-12-17 03:00:00,14 
2023-12-17 03:00:00,109 
2023-12-18 03:00:00,2.4 
2023-12-18 03:00:00,2.7 
2023-12-18 03:00:00,82 
2023-12-18 03:00:00,99 
2023-12-18 03:00:00,107 
2023-12-18 03:00:00,47 
2023-12-18 03:00:00,12 
2023-12-18 03:00:00,62 
2023-12-18 03:00:00,442 
2023-12-18 03:00:00,197 
2023-12-18 03:00:00,20 
2023-12-18 03:00:00,2.9 
2023-12-18 03:00:00,14 
2023-12-18 03:00:00,178 
2023-12-18 03:00:00,14 
2023-12-19 03:00:00,2.4 
2023-12-19 03:00:00,111 
2023-12-19 03:00:00,13 
2023-12-19 03:00:00,112 
2023-12-19 03:00:00,5.9 
2023-12-19 03:00:00,2.7 
2023-12-19 03:00:00,5.6 
2023-12-20 03:00:00,2.4 
2023-12-20 03:00:00,132 
2023-12-20 03:00:00,461 
2023-12-20 03:00:00,84 
2023-12-20 03:00:00,151 
2023-12-20 03:00:00,5.9 
2023-12-20 03:00:00,9.3 
2023-12-20 03:00:00,33 
2023-12-20 03:00:00,38 
2023-12-20 03:00:00,32 
2023-12-20 03:00:00,49 
2023-12-20 03:00:00,67 
2023-12-20 03:00:00,231 
2023-12-20 03:00:00,358 
2023-12-20 03:00:00,2.7 
2023-12-20 03:00:00,2.9 
2023-12-20 03:00:00,28 
2023-12-21 03:00:00,2.4 
2023-12-21 03:00:00,2.7 
2023-12-21 03:00:00,64 
2023-12-21 03:00:00,2.2 
2023-12-21 03:00:00,77 
2023-12-21 03:00:00,207 
2023-12-21 03:00:00,23 
2023-12-21 03:00:00,5.9 
2023-12-21 03:00:00,364 
2023-12-21 03:00:00,326 
2023-12-21 03:00:00,9.0 
2023-12-21 03:00:00,150 
2023-12-21 03:00:00,22 
2023-12-21 03:00:00,29 
2023-12-21 03:00:00,148 
2023-12-21 03:00:00,17 
2023-12-21 03:00:00,26 
2023-12-21 03:00:00,235 
2023-12-21 03:00:00,184 
2023-12-21 03:00:00,181 
2023-12-21 03:00:00,31 
2023-12-21 03:00:00,2.9 
2023-12-21 03:00:00,28 
2023-12-21 03:00:00,10 
2023-12-21 03:00:00,5.4 
2023-12-21 03:00:00,83 
2023-12-22 03:00:00,2.4 
2023-12-22 03:00:00,50 
2023-12-22 03:00:00,13 
2023-12-22 03:00:00,2.2 
2023-12-22 03:00:00,2.7 
2023-12-22 03:00:00,100 
2023-12-22 03:00:00,5.9 
2023-12-22 03:00:00,117 
2023-12-22 03:00:00,19 
2023-12-22 03:00:00,90 
2023-12-22 03:00:00,132 
2023-12-22 03:00:00,33 
2023-12-22 03:00:00,17 
2023-12-22 03:00:00,32 
2023-12-22 03:00:00,21 
2023-12-22 03:00:00,93 
2023-12-22 03:00:00,154 
2023-12-22 03:00:00,12 
2023-12-22 03:00:00,20 
2023-12-22 03:00:00,12 
2023-12-22 03:00:00,20 
2023-12-23 03:00:00,22 
2023-12-23 03:00:00,2.4 
2023-12-23 03:00:00,20 
2023-12-23 03:00:00,48 
2023-12-23 03:00:00,5.9 
2023-12-23 03:00:00,32 
2023-12-23 03:00:00,18 
2023-12-23 03:00:00,7.1 
2023-12-23 03:00:00,29 
2023-12-23 03:00:00,12 
2023-12-23 03:00:00,209 
2023-12-23 03:00:00,2.2 
2023-12-23 03:00:00,486 
2023-12-23 03:00:00,100 
2023-12-23 03:00:00,12 
2023-12-23 03:00:00,298 
2023-12-23 03:00:00,552 
2023-12-23 03:00:00,102 
2023-12-23 03:00:00,18 
2023-12-23 03:00:00,5.1 
2023-12-23 03:00:00,11 
2023-12-23 03:00:00,5.4 
2023-12-23 03:00:00,2.9 
2023-12-23 03:00:00,6.3 
2023-12-23 03:00:00,2.7 
2023-12-23 03:00:00,8.8 
2023-12-24 03:00:00,26 
2023-12-24 03:00:00,2.7 
2023-12-24 03:00:00,208 
2023-12-24 03:00:00,5.6 
