"Time","57175.distinct"
2023-06-29 03:00:00,20.19 °C
2023-06-29 03:00:00,21.19 °C
2023-06-29 03:00:00,21.56 °C
2023-06-29 03:00:00,21.94 °C
2023-06-29 03:00:00,22.19 °C
2023-06-29 03:00:00,22.63 °C
2023-06-29 03:00:00,22.75 °C
2023-06-29 03:00:00,23.06 °C
2023-06-29 03:00:00,23.13 °C
2023-06-29 03:00:00,14.94 °C
2023-06-29 03:00:00,15.25 °C
2023-06-29 03:00:00,253.25 °C
2023-06-29 03:00:00,251.63 °C
2023-06-29 03:00:00,254.00 °C
2023-06-29 03:00:00,254.94 °C
2023-06-29 03:00:00,0.75 °C
2023-06-29 03:00:00,1.06 °C
2023-06-29 03:00:00,15.19 °C
2023-06-29 03:00:00,251.00 °C
2023-06-29 03:00:00,253.19 °C
2023-06-29 03:00:00,253.94 °C
2023-06-29 03:00:00,254.56 °C
2023-06-29 03:00:00,254.81 °C
2023-06-29 03:00:00,255.06 °C
2023-06-29 03:00:00,255.81 °C
2023-06-29 03:00:00,0.19 °C
2023-06-29 03:00:00,254.19 °C
2023-06-29 03:00:00,0.25 °C
2023-06-29 03:00:00,253.06 °C
2023-06-29 03:00:00,254.38 °C
2023-06-29 03:00:00,254.63 °C
2023-06-29 03:00:00,254.31 °C
2023-06-29 03:00:00,1.44 °C
2023-06-29 03:00:00,1.94 °C
2023-06-29 03:00:00,20.63 °C
2023-06-29 03:00:00,20.94 °C
2023-06-29 03:00:00,21.13 °C
2023-06-29 03:00:00,21.31 °C
2023-06-29 03:00:00,5.63 °C
2023-06-29 03:00:00,5.25 °C
2023-06-29 03:00:00,250.25 °C
2023-06-29 03:00:00,11.94 °C
2023-06-29 03:00:00,9.19 °C
2023-06-29 03:00:00,8.75 °C
2023-06-29 03:00:00,10.13 °C
2023-06-29 03:00:00,252.63 °C
2023-06-29 03:00:00,253.75 °C
2023-06-29 03:00:00,0.88 °C
2023-06-29 03:00:00,2.75 °C
2023-06-29 03:00:00,250.50 °C
2023-06-29 03:00:00,250.81 °C
2023-06-29 03:00:00,10.88 °C
2023-06-29 03:00:00,252.44 °C
2023-06-29 03:00:00,8.19 °C
2023-06-29 03:00:00,10.44 °C
2023-06-29 03:00:00,10.63 °C
2023-06-29 03:00:00,6.50 °C
2023-06-29 03:00:00,7.38 °C
2023-06-29 03:00:00,250.44 °C
2023-06-29 03:00:00,13.25 °C
2023-06-29 03:00:00,1.63 °C
2023-06-29 03:00:00,0.44 °C
2023-06-29 03:00:00,1.25 °C
2023-06-29 03:00:00,253.56 °C
2023-06-29 03:00:00,253.31 °C
2023-06-29 03:00:00,18.13 °C
2023-06-29 03:00:00,18.31 °C
2023-06-29 03:00:00,21.00 °C
2023-06-29 03:00:00,21.06 °C
2023-06-29 03:00:00,9.81 °C
2023-06-29 03:00:00,9.50 °C
2023-06-29 03:00:00,8.50 °C
2023-06-29 03:00:00,12.19 °C
2023-06-29 03:00:00,1.69 °C
2023-06-29 03:00:00,255.44 °C
2023-06-29 03:00:00,255.69 °C
2023-06-29 03:00:00,1.50 °C
2023-07-06 03:00:00,10.56 °C
2023-07-06 03:00:00,11.31 °C
2023-07-06 03:00:00,12.00 °C
2023-07-06 03:00:00,13.00 °C
2023-07-06 03:00:00,13.50 °C
2023-07-06 03:00:00,13.81 °C
2023-07-06 03:00:00,14.19 °C
2023-07-06 03:00:00,15.13 °C
2023-07-06 03:00:00,15.50 °C
2023-07-06 03:00:00,15.69 °C
2023-07-06 03:00:00,16.31 °C
2023-07-06 03:00:00,16.50 °C
2023-07-06 03:00:00,11.88 °C
2023-07-06 03:00:00,12.69 °C
2023-07-06 03:00:00,13.25 °C
2023-07-06 03:00:00,15.06 °C
2023-07-06 03:00:00,15.31 °C
2023-07-06 03:00:00,19.75 °C
2023-07-06 03:00:00,19.94 °C
2023-07-06 03:00:00,20.13 °C
2023-07-06 03:00:00,20.38 °C
2023-07-06 03:00:00,19.13 °C
2023-07-06 03:00:00,20.00 °C
2023-07-06 03:00:00,20.56 °C
2023-07-06 03:00:00,21.13 °C
