"Time","tlm_mb_solarpanel_1_current(mA)"
2023-07-06 03:00:00,286 mA
2023-07-06 03:00:00,34 mA
2023-07-06 03:00:00,352 mA
2023-07-06 03:00:00,416 mA
2023-07-06 03:00:00,503 mA
2023-07-06 03:00:00,534 mA
2023-07-06 03:00:00,189 mA
2023-07-06 03:00:00,389 mA
2023-07-06 03:00:00,243 mA
2023-07-06 03:00:00,26 mA
2023-07-07 03:00:00,177 mA
2023-07-07 03:00:00,457 mA
2023-07-07 03:00:00,266 mA
2023-07-07 03:00:00,434 mA
2023-07-07 03:00:00,119 mA
2023-07-07 03:00:00,187 mA
2023-07-07 03:00:00,357 mA
2023-07-07 03:00:00,476 mA
2023-07-07 03:00:00,270 mA
2023-07-07 03:00:00,32 mA
2023-07-07 03:00:00,22 mA
2023-07-07 03:00:00,185 mA
2023-07-07 03:00:00,207 mA
2023-07-07 03:00:00,154 mA
2023-07-07 03:00:00,248 mA
2023-07-07 03:00:00,457 mA
2023-07-07 03:00:00,305 mA
2023-07-07 03:00:00,425 mA
2023-07-07 03:00:00,458 mA
2023-07-08 03:00:00,205 mA
2023-07-08 03:00:00,340 mA
2023-07-08 03:00:00,187 mA
2023-07-08 03:00:00,220 mA
2023-07-08 03:00:00,430 mA
2023-07-08 03:00:00,52 mA
2023-07-08 03:00:00,426 mA
2023-07-08 03:00:00,714 mA
2023-07-08 03:00:00,418 mA
2023-07-08 03:00:00,756 mA
2023-07-08 03:00:00,23 mA
2023-07-08 03:00:00,21 mA
2023-07-08 03:00:00,170 mA
2023-07-08 03:00:00,427 mA
2023-07-08 03:00:00,534 mA
2023-07-08 03:00:00,515 mA
2023-07-08 03:00:00,469 mA
2023-07-09 03:00:00,333 mA
2023-07-09 03:00:00,205 mA
2023-07-09 03:00:00,16 mA
2023-07-09 03:00:00,293 mA
2023-07-09 03:00:00,336 mA
2023-07-09 03:00:00,242 mA
2023-07-09 03:00:00,19 mA
2023-07-09 03:00:00,288 mA
2023-07-09 03:00:00,227 mA
2023-07-09 03:00:00,189 mA
2023-07-09 03:00:00,521 mA
2023-07-09 03:00:00,368 mA
2023-07-09 03:00:00,29 mA
2023-07-09 03:00:00,161 mA
2023-07-09 03:00:00,277 mA
2023-07-09 03:00:00,285 mA
2023-07-09 03:00:00,18 mA
2023-07-09 03:00:00,27 mA
2023-07-09 03:00:00,694 mA
2023-07-09 03:00:00,759 mA
2023-07-09 03:00:00,616 mA
2023-07-09 03:00:00,424 mA
2023-07-09 03:00:00,702 mA
2023-07-09 03:00:00,725 mA
2023-07-09 03:00:00,585 mA
2023-07-09 03:00:00,552 mA
2023-07-09 03:00:00,50 mA
2023-07-09 03:00:00,219 mA
2023-07-09 03:00:00,411 mA
2023-07-10 03:00:00,40 mA
2023-07-10 03:00:00,174 mA
2023-07-10 03:00:00,8.5 mA
2023-07-10 03:00:00,259 mA
2023-07-10 03:00:00,178 mA
2023-07-10 03:00:00,2.9 mA
2023-07-10 03:00:00,242 mA
2023-07-10 03:00:00,235 mA
2023-07-10 03:00:00,126 mA
2023-07-10 03:00:00,166 mA
2023-07-10 03:00:00,223 mA
2023-07-10 03:00:00,21 mA
2023-07-10 03:00:00,10 mA
2023-07-10 03:00:00,177 mA
2023-07-10 03:00:00,216 mA
2023-07-10 03:00:00,80 mA
2023-07-10 03:00:00,360 mA
2023-07-10 03:00:00,115 mA
2023-07-10 03:00:00,667 mA
2023-07-10 03:00:00,427 mA
2023-07-11 03:00:00,428 mA
2023-07-11 03:00:00,376 mA
2023-07-11 03:00:00,34 mA
2023-07-11 03:00:00,8.3 mA
2023-07-11 03:00:00,59 mA
2023-07-11 03:00:00,404 mA
2023-07-11 03:00:00,64 mA
2023-07-11 03:00:00,319 mA
2023-07-11 03:00:00,13 mA
2023-07-11 03:00:00,185 mA
2023-07-11 03:00:00,217 mA
2023-07-11 03:00:00,37 mA
2023-07-11 03:00:00,35 mA
2023-07-11 03:00:00,26 mA
2023-07-11 03:00:00,396 mA
2023-07-11 03:00:00,2.9 mA
2023-07-11 03:00:00,3.4 mA
2023-07-11 03:00:00,786 mA
2023-07-11 03:00:00,691 mA
2023-07-11 03:00:00,825 mA
2023-07-11 03:00:00,388 mA
2023-07-11 03:00:00,5.6 mA
2023-07-11 03:00:00,195 mA
2023-07-11 03:00:00,28 mA
2023-07-11 03:00:00,246 mA
2023-07-11 03:00:00,305 mA
2023-07-11 03:00:00,534 mA
2023-07-11 03:00:00,722 mA
2023-07-11 03:00:00,663 mA
2023-07-11 03:00:00,782 mA
2023-07-12 03:00:00,403 mA
2023-07-12 03:00:00,186 mA
2023-07-12 03:00:00,538 mA
2023-07-12 03:00:00,426 mA
2023-07-12 03:00:00,286 mA
2023-07-12 03:00:00,230 mA
2023-07-12 03:00:00,338 mA
2023-07-12 03:00:00,302 mA
2023-07-12 03:00:00,281 mA
2023-07-12 03:00:00,5.9 mA
2023-07-12 03:00:00,196 mA
2023-07-12 03:00:00,25 mA
2023-07-12 03:00:00,197 mA
2023-07-12 03:00:00,123 mA
2023-07-12 03:00:00,172 mA
2023-07-12 03:00:00,32 mA
2023-07-12 03:00:00,731 mA
2023-07-12 03:00:00,526 mA
2023-07-12 03:00:00,348 mA
2023-07-12 03:00:00,357 mA
2023-07-12 03:00:00,299 mA
2023-07-13 03:00:00,410 mA
2023-07-13 03:00:00,86 mA
2023-07-13 03:00:00,8.8 mA
2023-07-13 03:00:00,5.9 mA
2023-07-13 03:00:00,36 mA
2023-07-13 03:00:00,295 mA
2023-07-13 03:00:00,276 mA
2023-07-13 03:00:00,240 mA
2023-07-13 03:00:00,239 mA
2023-07-13 03:00:00,86 mA
2023-07-13 03:00:00,465 mA
2023-07-13 03:00:00,207 mA
2023-07-13 03:00:00,35 mA
2023-07-13 03:00:00,21 mA
2023-07-13 03:00:00,23 mA
2023-07-13 03:00:00,261 mA
2023-07-13 03:00:00,273 mA
2023-07-13 03:00:00,416 mA
2023-07-13 03:00:00,661 mA
2023-07-13 03:00:00,751 mA
2023-07-13 03:00:00,376 mA
2023-07-13 03:00:00,809 mA
2023-07-13 03:00:00,749 mA
2023-07-13 03:00:00,160 mA
2023-07-13 03:00:00,645 mA
2023-07-13 03:00:00,265 mA
2023-07-14 03:00:00,5.6 mA
2023-07-14 03:00:00,53 mA
2023-07-14 03:00:00,193 mA
2023-07-14 03:00:00,269 mA
2023-07-14 03:00:00,481 mA
2023-07-14 03:00:00,3.2 mA
2023-07-14 03:00:00,5.1 mA
2023-07-14 03:00:00,437 mA
2023-07-14 03:00:00,40 mA
2023-07-14 03:00:00,2.9 mA
2023-07-14 03:00:00,669 mA
2023-07-14 03:00:00,599 mA
2023-07-14 03:00:00,412 mA
2023-07-15 03:00:00,402 mA
2023-07-15 03:00:00,237 mA
2023-07-15 03:00:00,165 mA
2023-07-15 03:00:00,80 mA
2023-07-15 03:00:00,103 mA
2023-07-15 03:00:00,423 mA
2023-07-15 03:00:00,48 mA
2023-07-15 03:00:00,616 mA
2023-07-15 03:00:00,3.2 mA
2023-07-15 03:00:00,216 mA
2023-07-15 03:00:00,178 mA
2023-07-15 03:00:00,239 mA
2023-07-15 03:00:00,231 mA
2023-07-15 03:00:00,463 mA
2023-07-15 03:00:00,2.9 mA
2023-07-15 03:00:00,373 mA
2023-07-15 03:00:00,672 mA
2023-07-15 03:00:00,344 mA
2023-07-15 03:00:00,10 mA
2023-07-15 03:00:00,160 mA
2023-07-15 03:00:00,21 mA
2023-07-15 03:00:00,451 mA
2023-07-16 03:00:00,209 mA
2023-07-16 03:00:00,332 mA
2023-07-16 03:00:00,172 mA
2023-07-16 03:00:00,320 mA
2023-07-16 03:00:00,173 mA
2023-07-16 03:00:00,302 mA
2023-07-16 03:00:00,26 mA
2023-07-16 03:00:00,89 mA
2023-07-16 03:00:00,4.9 mA
2023-07-16 03:00:00,477 mA
2023-07-16 03:00:00,51 mA
2023-07-16 03:00:00,549 mA
2023-07-16 03:00:00,583 mA
2023-07-16 03:00:00,2.9 mA
2023-07-16 03:00:00,77 mA
2023-07-16 03:00:00,113 mA
2023-07-16 03:00:00,38 mA
2023-07-16 03:00:00,214 mA
2023-07-16 03:00:00,374 mA
2023-07-16 03:00:00,651 mA
2023-07-16 03:00:00,110 mA
2023-07-16 03:00:00,517 mA
2023-07-16 03:00:00,761 mA
2023-07-16 03:00:00,615 mA
2023-07-16 03:00:00,227 mA
2023-07-16 03:00:00,404 mA
2023-07-16 03:00:00,346 mA
2023-07-16 03:00:00,172 mA
2023-07-16 03:00:00,49 mA
2023-07-17 03:00:00,17 mA
2023-07-17 03:00:00,421 mA
2023-07-17 03:00:00,39 mA
2023-07-17 03:00:00,750 mA
2023-07-17 03:00:00,699 mA
2023-07-17 03:00:00,3.4 mA
2023-07-17 03:00:00,152 mA
2023-07-17 03:00:00,252 mA
2023-07-17 03:00:00,159 mA
2023-07-17 03:00:00,218 mA
2023-07-17 03:00:00,298 mA
2023-07-17 03:00:00,454 mA
2023-07-17 03:00:00,5.9 mA
2023-07-17 03:00:00,154 mA
2023-07-17 03:00:00,521 mA
2023-07-17 03:00:00,248 mA
2023-07-17 03:00:00,475 mA
2023-07-17 03:00:00,261 mA
2023-07-17 03:00:00,21 mA
2023-07-17 03:00:00,2.9 mA
2023-07-17 03:00:00,143 mA
2023-07-17 03:00:00,39 mA
2023-07-17 03:00:00,222 mA
2023-07-17 03:00:00,33 mA
2023-07-17 03:00:00,283 mA
2023-07-17 03:00:00,9.0 mA
2023-07-17 03:00:00,721 mA
2023-07-17 03:00:00,593 mA
2023-07-17 03:00:00,376 mA
2023-07-17 03:00:00,747 mA
2023-07-17 03:00:00,6.8 mA
2023-07-17 03:00:00,157 mA
2023-07-17 03:00:00,74 mA
2023-07-17 03:00:00,185 mA
2023-07-17 03:00:00,93 mA
2023-07-17 03:00:00,387 mA
2023-07-17 03:00:00,62 mA
2023-07-17 03:00:00,191 mA
2023-07-17 03:00:00,347 mA
2023-07-18 03:00:00,255 mA
2023-07-18 03:00:00,33 mA
2023-07-18 03:00:00,229 mA
2023-07-18 03:00:00,276 mA
2023-07-18 03:00:00,42 mA
2023-07-18 03:00:00,217 mA
2023-07-18 03:00:00,724 mA
2023-07-18 03:00:00,549 mA
2023-07-18 03:00:00,138 mA
2023-07-18 03:00:00,240 mA
2023-07-18 03:00:00,543 mA
2023-07-18 03:00:00,527 mA
2023-07-18 03:00:00,334 mA
2023-07-18 03:00:00,181 mA
2023-07-18 03:00:00,269 mA
2023-07-18 03:00:00,31 mA
2023-07-18 03:00:00,43 mA
2023-07-18 03:00:00,280 mA
2023-07-18 03:00:00,7.3 mA
2023-07-18 03:00:00,529 mA
2023-07-18 03:00:00,183 mA
2023-07-18 03:00:00,582 mA
2023-07-18 03:00:00,2.9 mA
2023-07-18 03:00:00,72 mA
2023-07-18 03:00:00,305 mA
2023-07-18 03:00:00,218 mA
2023-07-18 03:00:00,385 mA
2023-07-18 03:00:00,131 mA
2023-07-18 03:00:00,698 mA
2023-07-18 03:00:00,470 mA
2023-07-18 03:00:00,322 mA
2023-07-18 03:00:00,333 mA
2023-07-18 03:00:00,407 mA
2023-07-18 03:00:00,157 mA
2023-07-18 03:00:00,436 mA
2023-07-18 03:00:00,372 mA
2023-07-18 03:00:00,741 mA
2023-07-19 03:00:00,194 mA
2023-07-19 03:00:00,229 mA
2023-07-19 03:00:00,56 mA
2023-07-19 03:00:00,352 mA
2023-07-19 03:00:00,26 mA
2023-07-19 03:00:00,312 mA
2023-07-19 03:00:00,554 mA
2023-07-19 03:00:00,469 mA
2023-07-19 03:00:00,52 mA
2023-07-19 03:00:00,230 mA
2023-07-19 03:00:00,154 mA
2023-07-19 03:00:00,185 mA
2023-07-19 03:00:00,314 mA
2023-07-19 03:00:00,83 mA
2023-07-19 03:00:00,285 mA
2023-07-19 03:00:00,15 mA
2023-07-19 03:00:00,5.9 mA
2023-07-19 03:00:00,86 mA
2023-07-19 03:00:00,350 mA
2023-07-19 03:00:00,430 mA
2023-07-19 03:00:00,276 mA
2023-07-19 03:00:00,467 mA
2023-07-19 03:00:00,282 mA
2023-07-19 03:00:00,346 mA
2023-07-19 03:00:00,2.9 mA
2023-07-19 03:00:00,514 mA
2023-07-19 03:00:00,316 mA
2023-07-19 03:00:00,234 mA
2023-07-19 03:00:00,288 mA
2023-07-19 03:00:00,597 mA
2023-07-19 03:00:00,621 mA
2023-07-19 03:00:00,365 mA
2023-07-19 03:00:00,251 mA
2023-07-19 03:00:00,221 mA
2023-07-19 03:00:00,451 mA
2023-07-19 03:00:00,20 mA
2023-07-19 03:00:00,164 mA
2023-07-19 03:00:00,142 mA
2023-07-19 03:00:00,445 mA
2023-07-19 03:00:00,229 mA
2023-07-20 03:00:00,213 mA
2023-07-20 03:00:00,470 mA
2023-07-20 03:00:00,176 mA
2023-07-20 03:00:00,209 mA
2023-07-20 03:00:00,242 mA
2023-07-20 03:00:00,165 mA
2023-07-20 03:00:00,15 mA
2023-07-20 03:00:00,33 mA
2023-07-20 03:00:00,2.9 mA
2023-07-20 03:00:00,67 mA
2023-07-20 03:00:00,52 mA
2023-07-20 03:00:00,338 mA
2023-07-20 03:00:00,75 mA
2023-07-20 03:00:00,275 mA
2023-07-20 03:00:00,6.1 mA
2023-07-20 03:00:00,344 mA
2023-07-20 03:00:00,343 mA
2023-07-20 03:00:00,86 mA
2023-07-20 03:00:00,222 mA
2023-07-20 03:00:00,293 mA
2023-07-20 03:00:00,360 mA
2023-07-20 03:00:00,404 mA
2023-07-20 03:00:00,95 mA
2023-07-20 03:00:00,100 mA
2023-07-20 03:00:00,303 mA
2023-07-20 03:00:00,164 mA
2023-07-20 03:00:00,445 mA
2023-07-20 03:00:00,276 mA
2023-07-20 03:00:00,486 mA
2023-07-20 03:00:00,685 mA
2023-07-20 03:00:00,729 mA
2023-07-20 03:00:00,713 mA
2023-07-20 03:00:00,713 mA
2023-07-20 03:00:00,848 mA
2023-07-20 03:00:00,727 mA
2023-07-20 03:00:00,128 mA
2023-07-20 03:00:00,342 mA
2023-07-20 03:00:00,239 mA
2023-07-20 03:00:00,87 mA
2023-07-20 03:00:00,307 mA
2023-07-21 03:00:00,506 mA
2023-07-21 03:00:00,207 mA
2023-07-21 03:00:00,10 mA
2023-07-21 03:00:00,25 mA
2023-07-21 03:00:00,7.8 mA
2023-07-21 03:00:00,211 mA
2023-07-21 03:00:00,289 mA
