Time,Cell Xp V
2023-02-11 03:00:00,1 m
2023-02-12 03:00:00,2.707 
2023-02-13 03:00:00,2.706 
2023-02-14 03:00:00,2.602 
2023-02-15 03:00:00,7 m
2023-02-16 03:00:00,6 m
2023-02-17 03:00:00,2 m
2023-02-18 03:00:00,2 m
2023-02-19 03:00:00,12 m
2023-02-20 03:00:00,11 m
2023-02-21 03:00:00,2.752 
2023-02-22 03:00:00,2.738 
2023-02-23 03:00:00,7 m
2023-02-24 03:00:00,625 m
2023-02-25 03:00:00,52 m
2023-02-26 03:00:00,11 m
2023-02-27 03:00:00,2.690 
2023-02-28 03:00:00,6 m
2023-03-01 03:00:00,103 m
2023-03-02 03:00:00,121 m
2023-03-03 03:00:00,212 m
2023-03-04 03:00:00,230 m
2023-03-05 03:00:00,47 m
2023-03-06 03:00:00,2.807 
2023-03-07 03:00:00,415 m
2023-03-08 03:00:00,2.690 
2023-03-09 03:00:00,5 m
2023-03-10 03:00:00,223 m
2023-03-11 03:00:00,2.752 
2023-03-12 03:00:00,2.721 
2023-03-13 03:00:00,2 m
2023-03-14 03:00:00,2.737 
2023-03-15 03:00:00,2.687 
2023-03-16 03:00:00,2.738 
2023-03-17 03:00:00,5 m
2023-03-18 03:00:00,485 m
2023-03-19 03:00:00,2.810 
2023-03-20 03:00:00,567 m
2023-03-21 03:00:00,2 m
2023-03-22 03:00:00,296 m
2023-03-23 03:00:00,2.221 
2023-03-24 03:00:00,505 m
2023-03-25 03:00:00,2.730 
2023-03-26 03:00:00,502 m
2023-03-27 03:00:00,2.728 
2023-03-28 03:00:00,65 m
2023-03-29 03:00:00,2.673 
2023-03-30 03:00:00,83 m
2023-03-31 03:00:00,152 m
2023-04-01 03:00:00,502 m
2023-04-02 03:00:00,2.676 
2023-04-03 03:00:00,593 m
2023-04-04 03:00:00,297 m
2023-04-05 03:00:00,2.715 
2023-04-06 03:00:00,296 m
2023-04-07 03:00:00,2 m
2023-04-08 03:00:00,298 m
2023-04-09 03:00:00,2.727 
2023-04-10 03:00:00,296 m
2023-04-11 03:00:00,2.661 
2023-04-12 03:00:00,556 m
2023-04-13 03:00:00,2.697 
2023-04-14 03:00:00,2.687 
2023-04-15 03:00:00,366 m
2023-04-16 03:00:00,505 m
2023-04-17 03:00:00,388 m
