"Time","-X Panel Temperature","+X Panel Temperature","-Y Panel Temperature","+Y Panel Temperature","-Z Panel Temperature","+Z Panel Temperature"
2020-01-15 03:00:00,-13,-12,-23,-12,9.7,-10
2020-01-16 03:00:00,-43,-43,-48,-44,-12,-23
2020-01-21 03:00:00,0.88,3.3,11,1.1,19,1.3
2020-01-22 03:00:00,-5,-8,-9,-6,9.3,4.9
2020-01-24 03:00:00,-35,-35,-37,-37,-3,-12
2020-01-25 03:00:00,-34,-34,-37,-38,-7,8.3
2020-01-26 03:00:00,0,-3,-6,-9,9.4,23
2020-01-27 03:00:00,9.5,8.3,2.2,0.83,26,2.4
2020-01-28 03:00:00,33,26,40,35,36,11
2020-01-29 03:00:00,5.8,7.0,5.0,5.1,13,17
2020-01-30 03:00:00,21,22,11,17,20,-7
2020-01-31 03:00:00,-18,-23,-11,-27,-2,17
2020-02-01 03:00:00,22,-1,43,3.7,17,0.50
2020-02-02 03:00:00,-6,-4,41,0,18,-1
2020-02-04 03:00:00,-1,-1,4.2,-3,7.3,20
2020-02-05 03:00:00,0.46,2.6,15,-1,10,16
2020-02-06 03:00:00,-24,-21,3.1,-29,-3,6.5
2020-02-08 03:00:00,-48,-50,-43,-53,-9,-18
2020-02-13 03:00:00,23,28,35,26,45,16
2020-02-15 03:00:00,-26,-28,-24,-30,-3,-6
2020-02-16 03:00:00,-13,-15,25,-23,3.6,-4
2020-02-17 03:00:00,11,15,0,6.5,16,26
2020-02-24 03:00:00,-36,-39,-36,-42,-5,-14
2020-03-01 03:00:00,28,36,16,28,35,15
2020-03-08 03:00:00,-53,-49,-57,-53,-15,-14
2020-03-09 03:00:00,8.5,4.7,-1,-8,7.4,26
2020-03-10 03:00:00,0.85,3.5,4.9,6.0,16,-4
2020-03-11 03:00:00,9.8,9.9,9.1,11,22,21
2020-03-12 03:00:00,-3,0,-7,-4,7.3,30
2020-03-13 03:00:00,28,30,21,29,36,1.5
2020-03-14 03:00:00,7.7,13,29,13,21,0.42
2020-03-15 03:00:00,32,36,29,33,41,0.031
2020-03-16 03:00:00,-25,-25,-29,-30,-14,13
2020-03-17 03:00:00,34,30,28,36,35,4.0
2020-03-18 03:00:00,21,24,16,26,29,16
2020-03-21 03:00:00,29,33,32,33,33,2.0
2020-03-25 03:00:00,6.2,8.3,11,8.4,16,24
2020-03-27 03:00:00,11,26,8.2,36,28,17
2020-03-30 03:00:00,15,6.6,8.5,1.5,-2,12
2020-04-01 03:00:00,-34,-34,-32,-21,-23,42
2020-04-24 03:00:00,23,24,33,40,39,21
2020-05-04 03:00:00,14,19,1.0,9.6,11,19
2020-05-05 03:00:00,36,40,31,33,38,0.63
2020-05-06 03:00:00,13,11,0.13,6.3,26,-19
2020-05-07 03:00:00,33,29,16,44,32,-13
2020-05-08 03:00:00,-12,-11,-25,-19,5.8,9.3
2020-05-10 03:00:00,6.1,7.0,30,2.2,19,15
2020-05-11 03:00:00,-8,-8,7,-1,8,6.5
2020-05-12 03:00:00,-14,-13,-16,-24,-3,6.5
2020-09-26 03:00:00,31,45,33,53,44,12
2020-10-02 03:00:00,-2,-4,-1,-9,-1,30
2020-10-03 03:00:00,-5,-1,30,-12,3.6,4.9
2020-10-04 03:00:00,-3,-6,-7,-6,4.6,9.5
2020-11-26 03:00:00,-10,-14,11,-16,1.1,15
2020-12-08 03:00:00,-2,0.17,15,1.2,7.7,14
2020-12-13 03:00:00,-49,-49,-8,-52,-11,-19
2020-12-22 03:00:00,-6,-10,22,-17,3.0,7.9
2020-12-31 03:00:00,14,13,23,-4,13,19
2021-01-05 03:00:00,0,0,0,0,27,0
2021-01-08 03:00:00,-15,-20,-10,-27,8.5,-2
2021-01-09 03:00:00,2.8,4.6,22,3.9,13,27
2021-02-04 03:00:00,-15,-15,4.3,-23,6.9,0.92
2021-02-21 03:00:00,24,25,14,28,23,30
2021-03-01 03:00:00,13,23,3,16,20,31
2021-03-02 03:00:00,45,49,21,53,45,16
2021-03-06 03:00:00,29,31,33,30,32,14
2021-03-07 03:00:00,-10,-5,-13,-24,0.85,6.5
2021-03-10 03:00:00,-4,-8,-1,-11,5.9,14
2021-03-16 03:00:00,36,42,22,53,44,17
2021-03-17 03:00:00,-24,-26,-27,-29,2.4,0.44
2021-04-15 03:00:00,15,22,4,8.5,16,25
2021-04-20 03:00:00,0,0,0,0,-2,0
2021-05-02 03:00:00,0,0,0,0,25,0
2021-05-04 03:00:00,1.5,5,16,43,46,-29
2021-05-06 03:00:00,0,0,5,4.5,17,25
2021-05-26 03:00:00,-34,-37,-40,-37,-7,-21
2021-06-21 03:00:00,0,0,0,0,27,0
2021-06-23 03:00:00,32,5.0,-14,-12,-1,14
2021-06-25 03:00:00,44,40,22,41,45,9.7
2021-06-27 03:00:00,39,47,36,42,46,0.33
2021-06-28 03:00:00,10.0,15,13,2.8,12,17
2021-06-29 03:00:00,-8,-6,17,-14,11,8.4
2021-06-30 03:00:00,-21,-19,-9,-24,-2,19
2021-07-02 03:00:00,-36,-36,-38,-37,-6,-15
2021-07-03 03:00:00,-2,0.50,53,-13,6,-6
2021-07-04 03:00:00,22,6.8,13,19,11,2.8
2021-07-13 03:00:00,-11,-11,-16,-12,11,3.1
2021-07-18 03:00:00,-9,-29,-39,-21,-9,-25
2021-07-19 03:00:00,46,38,6.4,52,29,-19
2021-07-25 03:00:00,-10,-16,-12,-3,2,48
2021-07-26 03:00:00,-41,-38,-43,-42,-9,-18
2021-08-01 03:00:00,53,43,36,53,53,0
2021-08-06 03:00:00,-16,-22,-21,-13,4.1,9.7
