"Time","Y Torquer Voltage (V)","Y Torquer Current (A)"
2022-07-13 03:00:00,-3,0.094
2022-07-19 03:00:00,0.25,2.9
2022-07-20 03:00:00,-3,0.094
2022-08-04 03:00:00,0,4.0
2022-08-08 03:00:00,0,4.0
2022-08-09 03:00:00,0,4.0
2022-08-12 03:00:00,0,4.0
2022-08-14 03:00:00,0,4.0
2022-08-20 03:00:00,0,4.0
2022-08-22 03:00:00,0,3.6
2022-08-23 03:00:00,0,4.0
2022-08-25 03:00:00,0,4.0
2022-08-26 03:00:00,0,4.0
2022-08-27 03:00:00,0.96,2.6
2022-08-29 03:00:00,2.9,3.9
2022-08-30 03:00:00,-1,1.0
2022-08-31 03:00:00,-3,0.086
2022-09-01 03:00:00,0,4.0
2022-09-02 03:00:00,0,4.0
2022-09-03 03:00:00,0,4.0
2022-09-04 03:00:00,0,4.0
2022-09-06 03:00:00,0,4.0
2022-09-08 03:00:00,0.36,2.3
2022-09-09 03:00:00,-1,0.016
2022-09-10 03:00:00,3.0,3.9
2022-09-11 03:00:00,2.6,3.7
2022-09-12 03:00:00,2.9,3.9
2022-09-13 03:00:00,2.9,3.9
2022-09-14 03:00:00,1.5,2.9
2022-09-15 03:00:00,2.6,3.9
2022-09-16 03:00:00,0,4.0
2022-09-17 03:00:00,0,4.0
2022-09-18 03:00:00,0.73,4.0
2022-09-20 03:00:00,0,4.0
2022-09-21 03:00:00,0,4.0
2022-09-24 03:00:00,0.85,3.0
2022-09-26 03:00:00,-3,0.094
2022-09-27 03:00:00,0.27,2.2
2022-09-29 03:00:00,3,3.9
2022-09-30 03:00:00,-3,0.094
2022-10-01 03:00:00,0,4.0
2022-10-02 03:00:00,0,1.9
2022-10-03 03:00:00,3,3.9
2022-10-04 03:00:00,1.9,3.7
2022-10-05 03:00:00,2.2,3.4
2022-10-06 03:00:00,0,4.0
2022-10-07 03:00:00,0,4.0
2022-10-08 03:00:00,0,4.0
2022-10-09 03:00:00,3,3.9
2022-10-10 03:00:00,0,4.0
2022-10-11 03:00:00,0,4.0
2022-10-13 03:00:00,2.2,3.5
2022-10-14 03:00:00,1.8,3.5
2022-10-15 03:00:00,-3,0.094
2022-10-16 03:00:00,-1,2.6
2022-10-17 03:00:00,0,1.6
2022-10-18 03:00:00,0,4.0
2022-10-19 03:00:00,0,4.0
2022-10-21 03:00:00,0.089,4.0
2022-10-22 03:00:00,0.96,2.6
2022-10-24 03:00:00,2.8,3.9
2022-10-25 03:00:00,0.71,2.5
2022-10-26 03:00:00,2.3,3.5
2022-10-27 03:00:00,0,4.0
2022-10-28 03:00:00,0,4.0
2022-10-29 03:00:00,0,4.0
2022-10-30 03:00:00,1.2,2.7
2022-10-31 03:00:00,3,3.9
2022-11-01 03:00:00,-1,2.7
2022-11-02 03:00:00,-3,0.10
2022-11-03 03:00:00,1.5,2.9
2022-11-04 03:00:00,0,4.0
2022-11-07 03:00:00,0.031,4.0
2022-11-11 03:00:00,0,4.0
2022-11-12 03:00:00,0,4.0
2022-11-13 03:00:00,0,4.0
2022-11-14 03:00:00,-1,3.1
2022-11-15 03:00:00,0,4.0

